tpr	epq	fpr	precision	score
0.01	0.04451	0.3144	0.6856	4.61e-08
0.02	0.09839	0.3365	0.6635	2.41e-07
0.03	0.1428	0.3292	0.6708	7.43e-07
0.04	0.1956	0.3352	0.6648	1.96e-06
0.05	0.2437	0.3345	0.6655	4.32e-06
0.06	0.2891	0.3319	0.6681	8.81e-06
0.07	0.3321	0.3285	0.6715	1.67e-05
0.08	0.3728	0.3245	0.6755	2.97e-05
0.09	0.4152	0.3224	0.6776	4.89e-05
0.1	0.4501	0.317	0.683	7.5e-05
0.11	0.4851	0.3126	0.6874	0.000109
0.12	0.5224	0.3098	0.6902	0.000156
0.13	0.5559	0.306	0.694	0.000212
0.14	0.5889	0.3025	0.6975	0.000285
0.15	0.6234	0.3	0.7	0.000375
0.16	0.6602	0.2985	0.7015	0.000492
0.17	0.6949	0.2965	0.7035	0.000631
0.18	0.7305	0.295	0.705	0.000804
0.19	0.7615	0.2924	0.7076	0.001
0.2	0.7994	0.2919	0.7081	0.0013
0.21	0.8386	0.2917	0.7083	0.0016
0.22	0.8765	0.2912	0.7088	0.0019
0.23	0.919	0.2918	0.7082	0.0023
0.24	0.9635	0.2928	0.7072	0.0028
0.25	1.006	0.2933	0.7067	0.0034
0.26	1.052	0.2943	0.7057	0.0041
0.27	1.099	0.2956	0.7044	0.0049
0.28	1.148	0.2971	0.7029	0.0059
0.29	1.193	0.2978	0.7022	0.0069
0.3	1.248	0.3002	0.6998	0.0082
0.31	1.313	0.304	0.696	0.0098
0.32	1.368	0.3059	0.6941	0.0114
0.33	1.434	0.3094	0.6906	0.0135
0.34	1.509	0.314	0.686	0.016
0.35	1.583	0.318	0.682	0.0189
0.36	1.658	0.322	0.678	0.0222
0.37	1.741	0.3267	0.6733	0.0259
0.38	1.835	0.3324	0.6676	0.0306
0.39	1.93	0.3379	0.6621	0.0363
0.4	2.035	0.3441	0.6559	0.0428
0.41	2.131	0.3489	0.6511	0.0498
0.42	2.248	0.3557	0.6443	0.0583
0.43	2.359	0.3613	0.6387	0.068
0.44	2.486	0.3682	0.6318	0.08
0.45	2.631	0.3761	0.6239	0.0957
0.46	2.775	0.3835	0.6165	0.1131
0.47	2.935	0.3917	0.6083	0.1335
0.48	3.111	0.4006	0.5994	0.1598
0.49	3.314	0.4109	0.5891	0.1916
0.5	3.53	0.4213	0.5787	0.2287
0.51	3.754	0.4315	0.5685	0.273
0.52	4	0.4423	0.5577	0.3284
0.53	4.287	0.4548	0.5452	0.3999
0.54	4.602	0.4677	0.5323	0.4883
0.55	4.93	0.4804	0.5196	0.5904
0.56	5.3	0.4939	0.5061	0.7193
0.57	5.688	0.5071	0.4929	0.8767
0.58	6.165	0.5229	0.4771	1
0.59	6.672	0.5384	0.4616	1.1
0.6	7.278	0.5557	0.4443	1.2
0.61	7.981	0.5743	0.4257	1.3
0.62	8.849	0.5954	0.4046	1.5
0.63	9.864	0.6175	0.3825	1.6
0.64	11.08	0.6409	0.3591	1.7
0.65	12.81	0.6702	0.3298	1.9
0.66	15.44	0.707	0.293	2.1
0.67	20.04	0.7552	0.2448	2.3
0.68	31.32	0.8261	0.1739	2.7
0.69	102.9	0.9392	0.06078	3.8
SEPQ0.1=0.0203 SEPQ1=0.2487 SEPQ10=0.6312 S1FP=0.3088 N1FP=33574 area=20.2
