tpr	epq	fpr	precision	score
0.01	0.03604	0.2708	0.7292	8.75e-11
0.02	0.08385	0.3018	0.6982	1.54e-09
0.03	0.134	0.3153	0.6847	8.04e-09
0.04	0.1876	0.3259	0.6741	3.8e-08
0.05	0.2412	0.3322	0.6678	1.3e-07
0.06	0.2892	0.332	0.668	3.6e-07
0.07	0.335	0.3304	0.6696	8.6e-07
0.08	0.3786	0.328	0.672	2e-06
0.09	0.4232	0.3266	0.6734	4.48e-06
0.1	0.4667	0.3249	0.6751	8.6e-06
0.11	0.5125	0.3245	0.6755	1.64e-05
0.12	0.5542	0.3226	0.6774	2.98e-05
0.13	0.5998	0.3224	0.6776	5.09e-05
0.14	0.6408	0.3206	0.6794	8.05e-05
0.15	0.6833	0.3196	0.6804	0.000122
0.16	0.7353	0.3215	0.6785	0.000184
0.17	0.7819	0.3217	0.6783	0.000261
0.18	0.8367	0.324	0.676	0.00037
0.19	0.8889	0.3254	0.6746	0.000508
0.2	0.9473	0.3281	0.6719	0.000706
0.21	1.011	0.3317	0.6683	0.000957
0.22	1.076	0.3353	0.6647	0.0013
0.23	1.149	0.34	0.66	0.0017
0.24	1.221	0.3441	0.6559	0.0022
0.25	1.287	0.3468	0.6532	0.0027
0.26	1.352	0.349	0.651	0.0034
0.27	1.423	0.3522	0.6478	0.0042
0.28	1.496	0.3553	0.6447	0.0051
0.29	1.574	0.3588	0.6412	0.0062
0.3	1.657	0.3629	0.6371	0.0074
0.31	1.731	0.3655	0.6345	0.0088
0.32	1.816	0.3692	0.6308	0.0106
0.33	1.893	0.3716	0.6284	0.0124
0.34	1.977	0.3749	0.6251	0.0146
0.35	2.065	0.3782	0.6218	0.0173
0.36	2.152	0.3813	0.6187	0.0199
0.37	2.245	0.3849	0.6151	0.0231
0.38	2.345	0.3889	0.6111	0.027
0.39	2.439	0.3921	0.6079	0.0308
0.4	2.534	0.3951	0.6049	0.0352
0.41	2.64	0.399	0.601	0.0402
0.42	2.747	0.4028	0.5972	0.0461
0.43	2.853	0.4062	0.5938	0.0522
0.44	2.964	0.4099	0.5901	0.0594
0.45	3.092	0.4147	0.5853	0.0677
0.46	3.219	0.4192	0.5808	0.0764
0.47	3.349	0.4236	0.5764	0.0864
0.48	3.474	0.4273	0.5727	0.0967
0.49	3.604	0.4313	0.5687	0.1085
0.5	3.749	0.436	0.564	0.1224
0.51	3.902	0.441	0.559	0.1383
0.52	4.051	0.4455	0.5545	0.1543
0.53	4.208	0.4502	0.5498	0.1734
0.54	4.357	0.4542	0.5458	0.1932
0.55	4.522	0.4588	0.5412	0.2164
0.56	4.703	0.4641	0.5359	0.243
0.57	4.889	0.4694	0.5306	0.2713
0.58	5.071	0.4741	0.5259	0.3019
0.59	5.269	0.4794	0.5206	0.3371
0.6	5.462	0.4842	0.5158	0.3745
0.61	5.675	0.4896	0.5104	0.4172
0.62	5.878	0.4944	0.5056	0.4621
0.63	6.108	0.4999	0.5001	0.5149
0.64	6.361	0.5062	0.4938	0.5777
0.65	6.601	0.5115	0.4885	0.64
0.66	6.856	0.5172	0.4828	0.7112
0.67	7.173	0.5247	0.4753	0.7959
0.68	7.473	0.5312	0.4688	0.8874
0.69	7.81	0.5386	0.4614	0.9878
0.7	8.141	0.5453	0.4547	1.1
0.71	8.52	0.5531	0.4469	1.2
0.72	9.017	0.5636	0.4364	1.4
0.73	9.532	0.5738	0.4262	1.6
0.74	10.08	0.584	0.416	1.7
0.75	10.74	0.5963	0.4037	2
0.76	11.44	0.6081	0.3919	2.2
0.77	12.23	0.6208	0.3792	2.5
0.78	13.08	0.6335	0.3665	2.8
0.79	14.2	0.6496	0.3504	3.2
0.8	15.47	0.6661	0.3339	3.7
0.81	17.07	0.6849	0.3151	4.3
0.82	18.98	0.7048	0.2952	4.9
0.83	21.33	0.7261	0.2739	5.7
0.84	24.17	0.748	0.252	6.6
0.85	27.95	0.7722	0.2278	7.7
0.86	32.84	0.7975	0.2025	9
0.87	39.56	0.8242	0.1758	10.7
0.88	47.85	0.8487	0.1513	12.6
0.89	58.95	0.8723	0.1277	14.9
0.9	75.11	0.8959	0.1041	17.8
0.91	99.02	0.9182	0.08183	21.5
0.92	137.4	0.939	0.06099	26.6
0.93	196.8	0.9562	0.04382	33.3
0.94	299.8	0.9705	0.02951	43
0.95	462.4	0.9805	0.01953	56.2
0.96	744.2	0.9876	0.01235	76.9
0.97	1212	0.9923	0.007703	110.4
0.98	2167	0.9956	0.004366	190.3
0.99	4699	0.998	0.002039	755.2
1	6743	0.9986	0.001425	8.727e+09
SEPQ0.1=0.0234 SEPQ1=0.2084 SEPQ10=0.7391 S1FP=0.3602 N1FP=39162 area=27
