tpr	epq	fpr	precision	score
0.01	0.0001784	0.0001929	0.9998	6.81
0.02	0.007671	0.004131	0.9959	6.47
0.03	0.02506	0.008955	0.991	6.11
0.04	0.05298	0.01412	0.9859	5.86
0.05	0.09027	0.01915	0.9808	5.73
0.06	0.148	0.02598	0.974	5.6
0.07	0.242	0.03604	0.964	5.46
0.08	0.38	0.04886	0.9511	5.46
0.09	0.5829	0.06547	0.9345	5.33
0.1	0.8755	0.0865	0.9135	5.19
0.11	1.13	0.09999	0.9	5.19
0.12	1.525	0.1208	0.8792	5.04
0.13	1.969	0.1408	0.8592	5.04
0.14	2.466	0.16	0.84	5.04
0.15	3.142	0.1847	0.8153	4.89
0.16	3.827	0.2055	0.7945	4.89
0.17	4.737	0.2316	0.7684	4.74
0.18	5.867	0.2606	0.7394	4.74
0.19	6.949	0.2834	0.7166	4.74
0.2	8.386	0.312	0.688	4.58
0.21	10.05	0.3411	0.6589	4.58
0.22	11.68	0.3647	0.6353	4.58
0.23	13.51	0.3885	0.6115	4.42
0.24	15.96	0.4183	0.5817	4.42
0.25	18.07	0.4388	0.5612	4.42
0.26	20.17	0.4562	0.5438	4.42
0.27	22.38	0.4727	0.5273	4.42
0.28	25.2	0.4933	0.5067	4.25
0.29	28.61	0.5162	0.4838	4.25
0.3	31.3	0.5302	0.4698	4.25
0.31	34.15	0.5437	0.4563	4.25
0.32	37.17	0.5568	0.4432	4.25
0.33	40.42	0.5698	0.4302	4.07
0.34	45.36	0.5907	0.4093	4.07
0.35	49.08	0.6027	0.3973	4.07
0.36	53	0.6143	0.3857	4.07
0.37	57.49	0.627	0.373	4.07
0.38	61.68	0.6371	0.3629	4.07
0.39	65.33	0.6443	0.3557	4.07
0.4	70.74	0.6567	0.3433	3.89
0.41	77.72	0.6721	0.3279	3.89
0.42	82.97	0.6812	0.3188	3.89
0.43	88.58	0.6902	0.3098	3.89
0.44	93.94	0.6978	0.3022	3.89
0.45	100.5	0.7073	0.2927	3.89
0.46	106.2	0.714	0.286	3.89
0.47	111.5	0.7195	0.2805	3.89
0.48	120.7	0.7311	0.2689	3.7
0.49	132.2	0.7448	0.2552	3.7
0.5	142.4	0.7549	0.2451	3.7
0.51	150.7	0.7617	0.2383	3.7
0.52	159.2	0.7681	0.2319	3.7
0.53	170.4	0.7767	0.2233	3.7
0.54	181.6	0.7843	0.2157	3.7
0.55	191.1	0.7898	0.2102	3.7
0.56	199.3	0.7938	0.2062	3.7
0.57	212.2	0.801	0.199	3.5
0.58	231.7	0.812	0.188	3.5
0.59	248.5	0.82	0.18	3.5
0.6	263.8	0.8262	0.1738	3.5
0.61	279.5	0.8321	0.1679	3.5
0.62	297.8	0.8386	0.1614	3.5
0.63	316.9	0.8447	0.1553	3.5
0.64	332	0.8487	0.1513	3.5
0.65	346.5	0.8522	0.1478	3.5
0.66	376.2	0.8604	0.1396	3.29
0.67	410.7	0.8689	0.1311	3.29
0.68	438.1	0.8745	0.1255	3.29
0.69	466.2	0.8796	0.1204	3.29
0.7	499.1	0.8852	0.1148	3.29
0.71	532.2	0.8902	0.1098	3.29
0.72	558.6	0.8935	0.1065	3.29
0.73	593	0.8978	0.1022	3.07
0.74	652.4	0.9051	0.09492	3.07
0.75	703.2	0.9102	0.08976	3.07
0.76	752.4	0.9146	0.08541	3.07
0.77	810.6	0.9193	0.08073	3.07
0.78	864.8	0.923	0.07697	3.07
0.79	910.6	0.9257	0.07425	3.07
0.8	987.6	0.9303	0.06967	2.83
0.81	1086	0.9355	0.06452	2.83
0.82	1172	0.9392	0.06076	2.83
0.83	1263	0.9427	0.05727	2.83
0.84	1357	0.9459	0.05412	2.83
0.85	1437	0.9481	0.05186	2.83
0.86	1601	0.9527	0.0473	2.58
0.87	1781	0.9568	0.04321	2.58
0.88	1947	0.9599	0.04011	2.58
0.89	2123	0.9627	0.03731	2.58
0.9	2268	0.9646	0.03539	2.58
0.91	2539	0.9679	0.03208	2.3
0.92	2865	0.9712	0.02883	2.3
0.93	3190	0.9738	0.02625	2.3
0.94	3470	0.9756	0.02443	2.3
0.95	4005	0.9785	0.02146	1.99
0.96	4725	0.9816	0.01844	1.99
0.97	5340	0.9835	0.01652	1.99
0.98	6626	0.9865	0.01349	1.64
0.99	8037	0.9887	0.01126	1.64
1	1.112e+04	0.9918	0.008248	0
SEPQ0.1=0.0521 SEPQ1=0.1048 SEPQ10=0.2097 S1FP=0.1836 N1FP=190309 area=2.07
