tpr	epq	fpr	precision	score
0.01	0.0007136	0.0007712	0.9992	27.8
0.02	0.001784	0.0009638	0.999	22.4
0.03	0.0116	0.004163	0.9958	19.1
0.04	0.03184	0.008537	0.9915	17.1
0.05	0.05218	0.01116	0.9888	15.6
0.06	0.07002	0.01246	0.9875	14.6
0.07	0.09	0.01372	0.9863	13.8
0.08	0.11	0.01465	0.9853	13.2
0.09	0.1304	0.01543	0.9846	12.6
0.1	0.1513	0.0161	0.9839	12.2
0.11	0.179	0.0173	0.9827	11.8
0.12	0.2068	0.01829	0.9817	11.4
0.13	0.235	0.01918	0.9808	11.1
0.14	0.2655	0.0201	0.9799	10.8
0.15	0.2951	0.02083	0.9792	10.5
0.16	0.3362	0.02222	0.9778	10.2
0.17	0.3851	0.02391	0.9761	10
0.18	0.4477	0.0262	0.9738	9.7
0.19	0.5288	0.02922	0.9708	9.5
0.2	0.6312	0.03301	0.967	9.3
0.21	0.754	0.03738	0.9626	9
0.22	0.9088	0.04277	0.9572	8.8
0.23	1.097	0.04904	0.951	8.6
0.24	1.325	0.05633	0.9437	8.4
0.25	1.61	0.06512	0.9349	8.2
0.26	1.926	0.07416	0.9258	8
0.27	2.292	0.08409	0.9159	7.8
0.28	2.731	0.09541	0.9046	7.7
0.29	3.246	0.108	0.892	7.5
0.3	3.838	0.1216	0.8784	7.3
0.31	4.462	0.1347	0.8653	7.2
0.32	5.219	0.1499	0.8501	7
0.33	5.975	0.1638	0.8362	6.9
0.34	6.898	0.1799	0.8201	6.7
0.35	7.854	0.1953	0.8047	6.6
0.36	8.979	0.2125	0.7875	6.4
0.37	10.15	0.2289	0.7711	6.3
0.38	11.44	0.2456	0.7544	6.1
0.39	12.88	0.2632	0.7368	6
0.4	14.4	0.2803	0.7197	5.9
0.41	15.97	0.2964	0.7036	5.8
0.42	17.73	0.3134	0.6866	5.6
0.43	19.58	0.33	0.67	5.5
0.44	21.56	0.3464	0.6536	5.4
0.45	23.65	0.3624	0.6376	5.3
0.46	25.87	0.3783	0.6217	5.2
0.47	28.26	0.3941	0.6059	5.1
0.48	30.78	0.4095	0.5905	5
0.49	33.45	0.4247	0.5753	4.9
0.5	36.22	0.4393	0.5607	4.8
0.51	39.21	0.454	0.546	4.7
0.52	42.54	0.4695	0.5305	4.6
0.53	45.92	0.4837	0.5163	4.5
0.54	49.57	0.4982	0.5018	4.4
0.55	53.3	0.5117	0.4883	4.3
0.56	57.08	0.5244	0.4756	4.3
0.57	61.53	0.5386	0.4614	4.2
0.58	66.11	0.5521	0.4479	4.1
0.59	70.73	0.5646	0.4354	4
0.6	75.84	0.5776	0.4224	3.9
0.61	81.44	0.5908	0.4092	3.8
0.62	86.95	0.6027	0.3973	3.7
0.63	92.84	0.6145	0.3855	3.7
0.64	99.54	0.6272	0.3728	3.6
0.65	106.5	0.6392	0.3608	3.5
0.66	113.8	0.651	0.349	3.4
0.67	122.1	0.6633	0.3367	3.3
0.68	130.4	0.6747	0.3253	3.2
0.69	138.9	0.6853	0.3147	3.2
0.7	149.1	0.6973	0.3027	3.1
0.71	159.7	0.7087	0.2913	3
0.72	171.1	0.72	0.28	2.9
0.73	183.9	0.7315	0.2685	2.8
0.74	197.7	0.743	0.257	2.7
0.75	212.4	0.7539	0.2461	2.6
0.76	229.3	0.7654	0.2346	2.5
0.77	248	0.777	0.223	2.4
0.78	268.5	0.7883	0.2117	2.3
0.79	292.7	0.8003	0.1997	2.2
0.8	319.7	0.8121	0.1879	2.1
0.81	342.5	0.821	0.179	2
SEPQ0.1=0.0762 SEPQ1=0.2252 SEPQ10=0.3686 S1FP=0.3399 N1FP=352302 area=6.63
