tpr	epq	fpr	precision	score
0.01	0.004014	0.004322	0.9957	0.278
0.02	0.014	0.007516	0.9925	0.234
0.03	0.0355	0.01264	0.9874	0.206
0.04	0.07118	0.01888	0.9811	0.186
0.05	0.1306	0.02747	0.9725	0.17
0.06	0.2207	0.03826	0.9617	0.157
0.07	0.3612	0.05285	0.9471	0.146
0.08	0.5397	0.06801	0.932	0.137
0.09	0.7872	0.08642	0.9136	0.129
0.1	1.105	0.1068	0.8932	0.123
0.11	1.47	0.1263	0.8737	0.117
0.12	1.908	0.1467	0.8533	0.113
0.13	2.433	0.1684	0.8316	0.108
0.14	3.022	0.1893	0.8107	0.104
0.15	3.658	0.2087	0.7913	0.101
0.16	4.387	0.2287	0.7713	0.098
0.17	5.182	0.248	0.752	0.095
0.18	6.081	0.2676	0.7324	0.092
0.19	7.03	0.2858	0.7142	0.09
0.2	8.085	0.3042	0.6958	0.088
0.21	9.228	0.3222	0.6778	0.085
0.22	10.42	0.3387	0.6613	0.083
0.23	11.76	0.3561	0.6439	0.081
0.24	13.19	0.3728	0.6272	0.08
0.25	14.75	0.3896	0.6104	0.078
0.26	16.32	0.4044	0.5956	0.076
0.27	18.05	0.4197	0.5803	0.075
0.28	19.88	0.4344	0.5656	0.073
0.29	21.83	0.4488	0.5512	0.072
0.3	23.97	0.4636	0.5364	0.07
0.31	26.12	0.4768	0.5232	0.069
0.32	28.48	0.4905	0.5095	0.067
0.33	30.88	0.503	0.497	0.066
0.34	33.45	0.5155	0.4845	0.065
0.35	36.14	0.5276	0.4724	0.064
0.36	38.99	0.5395	0.4605	0.062
0.37	42.07	0.5515	0.4485	0.061
0.38	45.21	0.5627	0.4373	0.06
0.39	48.54	0.5738	0.4262	0.059
0.4	52.06	0.5847	0.4153	0.058
0.41	55.69	0.595	0.405	0.057
0.42	59.53	0.6052	0.3948	0.056
0.43	63.66	0.6156	0.3844	0.055
0.44	68.02	0.6257	0.3743	0.054
0.45	72.45	0.6352	0.3648	0.053
0.46	77.28	0.645	0.355	0.052
0.47	82.28	0.6544	0.3456	0.051
0.48	87.69	0.664	0.336	0.05
0.49	93.06	0.6726	0.3274	0.049
0.5	98.94	0.6815	0.3185	0.048
0.51	105.3	0.6907	0.3093	0.047
0.52	112	0.6996	0.3004	0.046
0.53	118.9	0.7081	0.2919	0.045
0.54	126.5	0.717	0.283	0.044
0.55	134.2	0.7252	0.2748	0.043
0.56	142.5	0.7334	0.2666	0.042
0.57	151.5	0.7419	0.2581	0.041
0.58	161	0.7501	0.2499	0.04
0.59	171.6	0.7587	0.2413	0.038
0.6	182.7	0.767	0.233	0.037
0.61	194.7	0.7754	0.2246	0.036
0.62	207.7	0.7837	0.2163	0.035
0.63	221.4	0.7917	0.2083	0.034
0.64	236	0.7995	0.2005	0.033
0.65	253.2	0.8082	0.1918	0.031
0.66	272.7	0.8172	0.1828	0.03
0.67	293.5	0.8257	0.1743	0.028
0.68	316.3	0.8342	0.1658	0.027
0.69	343.2	0.8432	0.1568	0.025
0.7	374.4	0.8526	0.1474	0.022
0.71	413.3	0.8629	0.1371	0.02
0.72	456.2	0.8727	0.1273	0.016
0.73	518.7	0.8849	0.1151	0.008
0.74	537.6	0.8881	0.1119	0
SEPQ0.1=0.0458 SEPQ1=0.0967 SEPQ10=0.2166 S1FP=0.1174 N1FP=121730 area=2.3
