tpr	epq	fpr	precision	score
0.01	1.568	0.629	0.371	0.4093
0.02	5.371	0.7439	0.2561	0.4309
0.03	10.6	0.7927	0.2073	0.4444
0.04	16.77	0.8193	0.1807	0.4545
0.05	24.48	0.8412	0.1588	0.4634
0.06	33.29	0.8572	0.1428	0.4711
0.07	43.3	0.87	0.13	0.478
0.08	54.59	0.8807	0.1193	0.4844
0.09	67.39	0.8901	0.1099	0.4905
0.1	81.53	0.8981	0.1019	0.4963
0.11	97.38	0.9054	0.09456	0.5019
0.12	114.9	0.9119	0.08806	0.5075
0.13	132.9	0.9171	0.08295	0.5125
0.14	152.8	0.9219	0.07811	0.5175
0.15	174.2	0.9262	0.07376	0.5224
0.16	197.6	0.9304	0.06965	0.5273
0.17	223	0.9342	0.06584	0.5321
0.18	250.9	0.9378	0.06221	0.537
0.19	279.8	0.9409	0.05908	0.5417
0.2	310.5	0.9438	0.05621	0.5463
0.21	343	0.9464	0.05358	0.5509
0.22	377.5	0.9489	0.05113	0.5556
0.23	413.9	0.9511	0.04887	0.5599
0.24	451.3	0.9531	0.04686	0.5643
0.25	491	0.955	0.04496	0.5686
0.26	533	0.9568	0.04316	0.5729
0.27	577.8	0.9586	0.04141	0.5773
0.28	624.1	0.9602	0.03983	0.5816
0.29	671.3	0.9616	0.03841	0.5858
0.3	721.4	0.963	0.03702	0.59
0.31	772.9	0.9642	0.03576	0.594
0.32	826.5	0.9654	0.03456	0.5981
0.33	883.4	0.9666	0.03338	0.6022
0.34	939.9	0.9676	0.03236	0.6061
0.35	999.5	0.9686	0.03136	0.61
0.36	1061	0.9696	0.03042	0.6139
0.37	1122	0.9704	0.02957	0.6176
0.38	1186	0.9712	0.02877	0.6213
0.39	1252	0.972	0.028	0.625
0.4	1319	0.9727	0.02727	0.6286
0.41	1390	0.9734	0.02655	0.6322
0.42	1461	0.9741	0.02589	0.6358
0.43	1535	0.9748	0.02524	0.6393
0.44	1611	0.9754	0.02463	0.6429
0.45	1688	0.9759	0.02405	0.6463
0.46	1766	0.9765	0.02351	0.6497
0.47	1847	0.977	0.02299	0.6531
0.48	1926	0.9775	0.02253	0.6562
0.49	2008	0.9779	0.02206	0.6596
0.5	2093	0.9784	0.02161	0.6628
0.51	2185	0.9789	0.02113	0.6667
0.52	2262	0.9792	0.02081	0.669
0.53	2353	0.9796	0.0204	0.6722
0.54	2445	0.98	0.02001	0.6754
0.55	2535	0.9803	0.01967	0.6784
0.56	2629	0.9807	0.01932	0.6815
0.57	2725	0.981	0.01897	0.6846
0.58	2818	0.9813	0.01867	0.6875
0.59	2913	0.9816	0.01838	0.6904
0.6	3011	0.9819	0.01809	0.6933
0.61	3109	0.9822	0.01782	0.6962
0.62	3206	0.9824	0.01756	0.699
0.63	3307	0.9827	0.01731	0.7019
0.64	3410	0.9829	0.01706	0.7048
0.65	3515	0.9832	0.01681	0.7076
0.66	3622	0.9834	0.01657	0.7105
0.67	3727	0.9837	0.01635	0.7133
0.68	3840	0.9839	0.01611	0.7163
0.69	3956	0.9841	0.01587	0.7193
0.7	4070	0.9843	0.01565	0.7222
0.71	4188	0.9846	0.01543	0.7252
0.72	4306	0.9848	0.01523	0.7282
0.73	4427	0.985	0.01502	0.7312
0.74	4546	0.9852	0.01483	0.7341
0.75	4673	0.9854	0.01462	0.7372
0.76	4800	0.9856	0.01443	0.7403
0.77	4928	0.9858	0.01424	0.7434
0.78	5066	0.986	0.01404	0.7467
0.79	5206	0.9862	0.01384	0.75
0.8	5349	0.9864	0.01364	0.7534
0.81	5495	0.9866	0.01345	0.7568
0.82	5644	0.9867	0.01325	0.7604
0.83	5800	0.9869	0.01306	0.764
0.84	5958	0.9871	0.01287	0.7677
0.85	6126	0.9873	0.01267	0.7717
0.86	6304	0.9875	0.01246	0.776
0.87	6485	0.9877	0.01225	0.7803
0.88	6675	0.988	0.01204	0.7849
0.89	6877	0.9882	0.01182	0.7899
0.9	7087	0.9884	0.0116	0.7951
0.91	7317	0.9886	0.01137	0.8009
0.92	7557	0.9889	0.01113	0.8072
0.93	7818	0.9891	0.01088	0.8142
0.94	8099	0.9894	0.01062	0.822
0.95	8422	0.9897	0.01032	0.8316
0.96	8794	0.99	0.009992	0.8433
0.97	9225	0.9904	0.009628	0.8585
0.98	9783	0.9908	0.009177	0.8818
0.99	1.062e+04	0.9915	0.008541	0.9326
1	1.112e+04	0.9918	0.008217	1
SEPQ0.1=0.0026 SEPQ1=0.0079 SEPQ10=0.0291 S1FP=0.0208 N1FP=21582 area=0.03
