tpr	epq	fpr	precision	score
0.01	0	0	1	5.38e-07
0.02	0	0	1	5.17e-05
0.03	0.0007136	0.0002572	0.9997	0.000586
0.04	0.001784	0.0004821	0.9995	0.0028
0.05	0.003479	0.0007519	0.9992	0.0083
0.06	0.004638	0.0008354	0.9992	0.0193
0.07	0.008206	0.001266	0.9987	0.0382
0.08	0.01142	0.001541	0.9985	0.0688
0.09	0.01641	0.001968	0.998	0.1139
0.1	0.02355	0.00254	0.9975	0.1796
0.11	0.04638	0.00454	0.9955	0.2746
0.12	0.07689	0.006882	0.9931	0.4023
0.13	0.1276	0.0105	0.9895	0.5793
0.14	0.1975	0.01503	0.985	0.8066
0.15	0.3032	0.02139	0.9786	1.1
0.16	0.436	0.02863	0.9714	1.4
0.17	0.6292	0.03849	0.9615	1.9
0.18	0.8892	0.05072	0.9493	2.3
0.19	1.204	0.06414	0.9359	2.9
0.2	1.615	0.08032	0.9197	3.5
0.21	2.148	0.09961	0.9004	4.2
0.22	2.805	0.1212	0.8788	5
0.23	3.619	0.1454	0.8546	5.8
0.24	4.597	0.1716	0.8284	6.8
0.25	5.767	0.1997	0.8003	7.8
0.26	7.173	0.2298	0.7702	8.9
0.27	8.734	0.2596	0.7404	10
SEPQ0.1=0.1251 SEPQ1=0.1838 SEPQ10=0.2695 S1FP=0.1484 N1FP=153810 area=3.5
