tpr	epq	fpr	precision	score
0.01	0	0	1	1
0.02	0	0	1	0.895
0.03	0.0007136	0.0002572	0.9997	0.8342
0.04	0.001784	0.0004821	0.9995	0.7817
0.05	0.00339	0.0007327	0.9993	0.7391
0.06	0.004638	0.0008354	0.9992	0.7021
0.07	0.008206	0.001266	0.9987	0.6702
0.08	0.01142	0.001541	0.9985	0.6413
0.09	0.01641	0.001968	0.998	0.6158
0.1	0.02355	0.00254	0.9975	0.5921
0.11	0.04638	0.00454	0.9955	0.5697
0.12	0.07707	0.006898	0.9931	0.5493
0.13	0.1276	0.0105	0.9895	0.5296
0.14	0.1975	0.01503	0.985	0.5117
0.15	0.2971	0.02097	0.979	0.4953
0.16	0.437	0.02869	0.9713	0.4801
0.17	0.6312	0.03861	0.9614	0.4664
0.18	0.8885	0.05068	0.9493	0.4539
0.19	1.2	0.06393	0.9361	0.4429
0.2	1.615	0.08031	0.9197	0.4324
0.21	2.146	0.09955	0.9005	0.4228
0.22	2.8	0.121	0.879	0.4138
0.23	3.616	0.1453	0.8547	0.4056
0.24	4.595	0.1716	0.8284	0.3978
0.25	5.767	0.1997	0.8003	0.3906
0.26	7.17	0.2297	0.7703	0.3837
0.27	8.734	0.2596	0.7404	0.3775
SEPQ0.1=0.1251 SEPQ1=0.1838 SEPQ10=0.2695 S1FP=0.1488 N1FP=154264 area=3.5
