tpr	epq	fpr	precision	score
0.01	0	0	1	1.13e-05
0.02	0	0	1	0.000229
0.03	0.0001784	6.431e-05	0.9999	0.0013
0.04	0.000892	0.0002411	0.9998	0.0048
0.05	0.002944	0.0006363	0.9994	0.0133
0.06	0.005976	0.001076	0.9989	0.0316
0.07	0.01106	0.001706	0.9983	0.0658
0.08	0.01864	0.002514	0.9975	0.1269
0.09	0.03238	0.003876	0.9961	0.2258
0.1	0.05611	0.006032	0.994	0.3761
0.11	0.09589	0.00934	0.9907	0.5909
0.12	0.1595	0.01417	0.9858	0.8906
0.13	0.2684	0.02184	0.9782	1.1
0.14	0.4111	0.03078	0.9692	1.3
0.15	0.6279	0.04331	0.9567	1.4
0.16	0.896	0.05711	0.9429	1.5
0.17	1.307	0.07675	0.9233	1.7
0.18	1.81	0.09811	0.9019	1.8
0.19	2.486	0.124	0.876	1.9
0.2	3.455	0.1574	0.8426	2.1
0.21	4.839	0.1995	0.8005	2.2
0.22	6.799	0.2505	0.7495	2.3
0.23	9.979	0.3194	0.6806	2.5
0.24	15.72	0.4147	0.5853	2.7
0.25	28.21	0.5497	0.4503	2.9
0.26	85.57	0.7809	0.2191	3.8
SEPQ0.1=0.1107 SEPQ1=0.1623 SEPQ10=0.2300 S1FP=0.1925 N1FP=199482 area=2.55
