tpr	epq	fpr	precision	score
0.01	0	0	1	2.308e-21
0.02	4.46e-05	5.497e-05	0.9999	2.776e-17
0.03	0.0004014	0.0003297	0.9997	1.991e-14
0.04	0.001293	0.0007965	0.9992	1.631e-12
0.05	0.003613	0.001778	0.9982	4.717e-11
0.06	0.008028	0.003288	0.9967	6.79e-10
0.07	0.01579	0.005529	0.9945	5.559e-09
0.08	0.02685	0.008205	0.9918	2.971e-08
0.09	0.04041	0.01095	0.9891	1.071e-07
0.1	0.05829	0.01417	0.9858	3.144e-07
0.11	0.078	0.01718	0.9828	7.861e-07
0.12	0.09986	0.0201	0.9799	1.724e-06
0.13	0.1259	0.02332	0.9767	3.415e-06
0.14	0.155	0.02657	0.9734	6.271e-06
0.15	0.1865	0.02974	0.9703	1.083e-05
0.16	0.2258	0.03362	0.9664	1.792e-05
0.17	0.2659	0.03713	0.9629	2.865e-05
0.18	0.3121	0.04099	0.959	4.426e-05
0.19	0.3653	0.04525	0.9548	6.657e-05
0.2	0.424	0.04966	0.9503	9.836e-05
0.21	0.4905	0.05444	0.9456	0.0001429
0.22	0.5628	0.05933	0.9407	0.0002036
0.23	0.6417	0.06436	0.9356	0.0002863
0.24	0.7362	0.07031	0.9297	0.0004018
0.25	0.8439	0.07682	0.9232	0.0005539
0.26	0.9675	0.08403	0.916	0.0007577
0.27	1.1	0.09123	0.9088	0.001022
0.28	1.255	0.09948	0.9005	0.001369
0.29	1.441	0.1091	0.8909	0.001812
0.3	1.655	0.1197	0.8803	0.002384
0.31	1.896	0.131	0.869	0.003075
0.32	2.173	0.1434	0.8566	0.003953
0.33	2.492	0.157	0.843	0.005059
0.34	2.853	0.1714	0.8286	0.006363
0.35	3.272	0.1873	0.8127	0.008044
0.36	3.731	0.2035	0.7965	0.009985
0.37	4.27	0.2215	0.7785	0.01232
0.38	4.881	0.2405	0.7595	0.0152
0.39	5.567	0.2603	0.7397	0.01857
0.4	6.322	0.2804	0.7196	0.02251
0.41	7.243	0.3034	0.6966	0.02746
0.42	8.257	0.3264	0.6736	0.03324
0.43	9.38	0.3497	0.6503	0.0399
0.44	10.61	0.3728	0.6272	0.04757
0.45	12.01	0.3969	0.6031	0.05673
0.46	13.54	0.4205	0.5795	0.0673
0.47	15.27	0.4447	0.5553	0.07971
0.48	17.11	0.4677	0.5323	0.09354
0.49	19.19	0.4912	0.5088	0.1097
0.5	21.53	0.5149	0.4851	0.1285
0.51	24.05	0.5376	0.4624	0.1496
0.52	26.79	0.5595	0.4405	0.1736
0.53	29.86	0.5814	0.4186	0.2016
0.54	33.15	0.6021	0.3979	0.2329
0.55	36.86	0.623	0.377	0.2693
0.56	40.87	0.6427	0.3573	0.3104
0.57	45.29	0.662	0.338	0.3575
0.58	50.07	0.6803	0.3197	0.4099
0.59	55.38	0.6983	0.3017	0.4706
0.6	61.35	0.716	0.284	0.5408
0.61	67.66	0.7322	0.2678	0.6183
0.62	74.39	0.7473	0.2527	0.704
0.63	81.9	0.7622	0.2378	0.8028
0.64	90.16	0.7764	0.2236	0.9142
0.65	99.43	0.7904	0.2096	1.044
0.66	109.4	0.8034	0.1966	1.188
0.67	120.5	0.816	0.184	1.354
0.68	132.5	0.8277	0.1723	1.537
0.69	146.3	0.8394	0.1606	1.751
0.7	161.4	0.8504	0.1496	1.993
0.71	177.8	0.8606	0.1394	2.264
0.72	196.5	0.8706	0.1294	2.576
0.73	216.5	0.8797	0.1203	2.921
0.74	240	0.8888	0.1112	3.329
0.75	266.2	0.8974	0.1026	3.795
0.76	296.3	0.9058	0.09425	4.334
0.77	329.5	0.9134	0.08658	4.942
0.78	366.9	0.9206	0.07939	5.63
0.79	411.5	0.9277	0.07225	6.452
0.8	463.3	0.9345	0.06546	7.417
0.81	524.4	0.941	0.05896	8.559
0.82	598.3	0.9473	0.05267	9.945
0.83	686.5	0.9532	0.04675	11.59
0.84	793.9	0.9588	0.04115	13.6
0.85	930	0.9643	0.03575	16.12
0.86	1103	0.9693	0.03067	19.3
0.87	1328	0.9741	0.02589	23.43
0.88	1611	0.9783	0.02167	28.59
0.89	2013	0.9824	0.01762	35.92
0.9	2595	0.9861	0.01387	46.7
0.91	3410	0.9893	0.01071	62.94
0.92	4503	0.9918	0.008219	90.95
0.93	5146	0.9927	0.007257	103
SEPQ0.1=0.1201 SEPQ1=0.2626 SEPQ10=0.4353 S1FP=0.5339 N1FP=242785 area=9.25
