tpr	epq	fpr	precision	score
0.01	0	0	1	0.8797
0.02	0	0	1	0.8498
0.03	0	0	1	0.8262
0.04	0.0003568	0.0002198	0.9998	0.8061
0.05	0.00107	0.0005274	0.9995	0.7886
0.06	0.001784	0.0007324	0.9993	0.7744
0.07	0.002141	0.0007533	0.9992	0.7614
0.08	0.002854	0.0008788	0.9991	0.7501
0.09	0.005887	0.00161	0.9984	0.7398
0.1	0.007493	0.001844	0.9982	0.7302
0.11	0.00999	0.002234	0.9978	0.7213
0.12	0.01284	0.002632	0.9974	0.7131
0.13	0.01659	0.003136	0.9969	0.7056
0.14	0.0215	0.003771	0.9962	0.6981
0.15	0.02694	0.004408	0.9956	0.6908
0.16	0.03247	0.004978	0.995	0.684
0.17	0.04237	0.006106	0.9939	0.677
0.18	0.04906	0.006674	0.9933	0.6709
0.19	0.06155	0.007922	0.9921	0.6651
0.2	0.07502	0.009162	0.9908	0.6592
0.21	0.0908	0.01055	0.9895	0.6535
0.22	0.1065	0.01179	0.9882	0.648
0.23	0.1272	0.01345	0.9866	0.6426
0.24	0.1522	0.01539	0.9846	0.6372
0.25	0.182	0.01763	0.9824	0.6319
0.26	0.2168	0.02014	0.9799	0.6269
0.27	0.2542	0.02268	0.9773	0.6219
0.28	0.2906	0.02495	0.9751	0.6172
0.29	0.3325	0.02749	0.9725	0.6126
0.3	0.3932	0.0313	0.9687	0.6079
0.31	0.4622	0.03545	0.9645	0.6034
0.32	0.5444	0.04025	0.9598	0.599
0.33	0.6307	0.045	0.955	0.5948
0.34	0.7342	0.05054	0.9495	0.5907
0.35	0.8484	0.05638	0.9436	0.5867
0.36	0.9873	0.06333	0.9367	0.5826
0.37	1.133	0.07019	0.9298	0.5788
0.38	1.306	0.0781	0.9219	0.5749
0.39	1.495	0.08633	0.9137	0.5712
0.4	1.693	0.09449	0.9055	0.5675
0.41	1.928	0.1039	0.8961	0.5636
0.42	2.193	0.114	0.886	0.5598
0.43	2.479	0.1244	0.8756	0.5563
0.44	2.793	0.1353	0.8647	0.5527
0.45	3.166	0.1478	0.8522	0.5491
0.46	3.569	0.1606	0.8394	0.5456
0.47	4.035	0.1747	0.8253	0.5421
0.48	4.513	0.1882	0.8118	0.5386
0.49	5.045	0.2024	0.7976	0.5352
0.5	5.614	0.2168	0.7832	0.5319
0.51	6.242	0.2318	0.7682	0.5286
0.52	6.951	0.2479	0.7521	0.5252
0.53	7.74	0.2647	0.7353	0.5218
0.54	8.573	0.2813	0.7187	0.5185
0.55	9.481	0.2982	0.7018	0.5152
0.56	10.52	0.3165	0.6835	0.5118
0.57	11.64	0.3349	0.6651	0.5084
0.58	12.91	0.3544	0.6456	0.5049
0.59	14.21	0.3726	0.6274	0.5017
0.6	15.74	0.3927	0.6073	0.4982
0.61	17.34	0.412	0.588	0.4948
0.62	19.22	0.4332	0.5668	0.4912
0.63	21.24	0.4538	0.5462	0.4876
0.64	23.43	0.4744	0.5256	0.4841
0.65	25.87	0.4952	0.5048	0.4805
0.66	28.62	0.5167	0.4833	0.4768
0.67	31.68	0.5383	0.4617	0.473
0.68	35.07	0.5597	0.4403	0.4692
0.69	38.9	0.5815	0.4185	0.4654
0.7	43.12	0.603	0.397	0.4614
0.71	47.67	0.6234	0.3766	0.4576
0.72	52.82	0.6439	0.3561	0.4536
0.73	58.62	0.6644	0.3356	0.4495
0.74	64.98	0.684	0.316	0.4455
0.75	72.24	0.7037	0.2963	0.4414
0.76	80.6	0.7233	0.2767	0.4371
0.77	89.57	0.7414	0.2586	0.4329
0.78	100.7	0.7609	0.2391	0.4283
0.79	113	0.779	0.221	0.4238
0.8	128	0.7977	0.2023	0.4189
0.81	144.5	0.8147	0.1853	0.4142
0.82	164.2	0.8315	0.1685	0.4093
0.83	187.9	0.848	0.152	0.4041
0.84	215.5	0.8635	0.1365	0.3988
0.85	248.3	0.8781	0.1219	0.3933
0.86	288.8	0.8922	0.1078	0.3875
0.87	338.8	0.9057	0.09433	0.3814
0.88	403.7	0.9188	0.08125	0.3746
0.89	483.8	0.9306	0.06943	0.3676
0.9	591.3	0.9418	0.05815	0.3598
0.91	728.2	0.9518	0.04825	0.3518
0.92	903.8	0.9603	0.03965	0.3435
0.93	1136	0.9679	0.03214	0.3348
0.94	1444	0.9743	0.02572	0.3256
0.95	1883	0.9799	0.02006	0.3156
0.96	2530	0.9848	0.01516	0.3042
0.97	3519	0.9889	0.01106	0.291
0.98	5020	0.9921	0.007857	0.2754
0.99	7216	0.9945	0.005534	0.2554
1	1.112e+04	0.9964	0.003635	0.04151
SEPQ0.1=0.2160 SEPQ1=0.3610 SEPQ10=0.5552 S1FP=0.7700 N1FP=350178 area=14.7
