tpr	epq	fpr	precision	score
0.01	0	0	1	6.58e-09
0.02	0	0	1	2.37e-07
0.03	0	0	1	2.82e-06
0.04	0	0	1	2e-05
0.05	0	0	1	8.87e-05
0.06	0.0001784	7.329e-05	0.9999	0.000263
0.07	0.0007136	0.0002512	0.9997	0.000648
0.08	0.00107	0.0003297	0.9997	0.0014
0.09	0.001606	0.0004396	0.9996	0.0025
0.1	0.002498	0.0006153	0.9994	0.0043
0.11	0.003479	0.000779	0.9992	0.0068
0.12	0.00446	0.0009154	0.9991	0.0102
0.13	0.004817	0.0009126	0.9991	0.0148
0.14	0.006065	0.001067	0.9989	0.021
0.15	0.006957	0.001142	0.9989	0.0287
0.16	0.009455	0.001455	0.9985	0.0382
0.17	0.01106	0.001601	0.9984	0.0501
0.18	0.0132	0.001805	0.9982	0.065
0.19	0.01499	0.001941	0.9981	0.0822
0.2	0.0173	0.002128	0.9979	0.1024
0.21	0.02194	0.002569	0.9974	0.1276
0.22	0.02587	0.00289	0.9971	0.1562
0.23	0.03175	0.003392	0.9966	0.1911
0.24	0.04353	0.004451	0.9955	0.2316
0.25	0.0553	0.005424	0.9946	0.2799
0.26	0.06743	0.006353	0.9936	0.3349
0.27	0.08652	0.007838	0.9922	0.3996
0.28	0.1088	0.00949	0.9905	0.4741
0.29	0.1377	0.01157	0.9884	0.5676
0.3	0.1693	0.01372	0.9863	0.6703
0.31	0.2094	0.01638	0.9836	0.7907
0.32	0.2526	0.01909	0.9809	0.9266
0.33	0.3141	0.02292	0.9771	1.1
0.34	0.3815	0.02692	0.9731	1.3
0.35	0.4615	0.03148	0.9685	1.5
0.36	0.5658	0.0373	0.9627	1.7
0.37	0.6901	0.04396	0.956	1.9
0.38	0.8537	0.05248	0.9475	2.2
0.39	1.032	0.06122	0.9388	2.6
0.4	1.247	0.07136	0.9286	2.9
0.41	1.522	0.08384	0.9162	3.3
0.42	1.845	0.09771	0.9023	3.8
0.43	2.274	0.1153	0.8847	4.3
0.44	2.793	0.1353	0.8647	4.9
0.45	3.447	0.1588	0.8412	5.6
0.46	4.25	0.1855	0.8145	6.4
0.47	5.222	0.215	0.785	7.3
0.48	6.415	0.2478	0.7522	8.3
0.49	7.945	0.2856	0.7144	9.4
0.5	8.779	0.3044	0.6956	10
SEPQ0.1=0.2767 SEPQ1=0.3884 SEPQ10=0.4946 S1FP=0.3390 N1FP=154186 area=11.4
