tpr	epq	fpr	precision	score
0.01	0.0007136	0.001756	0.9982	7.13
0.02	0.00223	0.002741	0.9973	6.92
0.03	0.007403	0.006047	0.994	6.7
0.04	0.01623	0.009906	0.9901	6.47
0.05	0.03318	0.0161	0.9839	6.35
0.06	0.06021	0.02414	0.9759	6.23
0.07	0.1033	0.0351	0.9649	6.11
0.08	0.169	0.04951	0.9505	5.99
0.09	0.24	0.06169	0.9383	5.86
0.1	0.3595	0.0814	0.9186	5.73
0.11	0.4787	0.09689	0.9031	5.73
0.12	0.6453	0.1171	0.8829	5.6
0.13	0.7969	0.1313	0.8687	5.6
0.14	1.016	0.1517	0.8483	5.46
0.15	1.23	0.1681	0.8319	5.46
0.16	1.529	0.1907	0.8093	5.46
0.17	1.857	0.2121	0.7879	5.33
0.18	2.255	0.2359	0.7641	5.33
0.19	2.701	0.2595	0.7405	5.19
0.2	2.966	0.2677	0.7323	5.19
0.21	3.415	0.2861	0.7139	5.19
0.22	3.999	0.3095	0.6905	5.04
0.23	4.365	0.3187	0.6813	5.04
0.24	4.853	0.3327	0.6673	5.04
0.25	5.402	0.3475	0.6525	5.04
0.26	6.219	0.3709	0.6291	4.89
0.27	6.741	0.381	0.619	4.89
0.28	7.514	0.3982	0.6018	4.89
0.29	8.285	0.4132	0.5868	4.74
0.3	9.461	0.4374	0.5626	4.74
0.31	10.21	0.4481	0.5519	4.74
0.32	11.36	0.4668	0.5332	4.74
0.33	12.41	0.4811	0.5189	4.74
0.34	14.16	0.5065	0.4935	4.58
0.35	15.44	0.521	0.479	4.58
0.36	16.99	0.5377	0.4623	4.58
0.37	18.5	0.5522	0.4478	4.58
0.38	21	0.5767	0.4233	4.42
0.39	23.25	0.5951	0.4049	4.42
0.4	25.13	0.6077	0.3923	4.42
0.41	27.57	0.6237	0.3763	4.42
0.42	29.95	0.6374	0.3626	4.42
0.43	32.19	0.6485	0.3515	4.25
0.44	36.48	0.6715	0.3285	4.25
0.45	39.53	0.6841	0.3159	4.25
0.46	42.84	0.6966	0.3034	4.25
0.47	46.5	0.7092	0.2908	4.25
0.48	49.8	0.7189	0.2811	4.25
0.49	56.12	0.7385	0.2615	4.07
0.5	61.15	0.7509	0.2491	4.07
0.51	66.44	0.7626	0.2374	4.07
0.52	72.62	0.7749	0.2251	4.07
0.53	77.95	0.7838	0.2162	4.07
0.54	84.07	0.7933	0.2067	3.89
0.55	94.68	0.8093	0.1907	3.89
0.56	102.2	0.8182	0.1818	3.89
0.57	110.8	0.8274	0.1726	3.89
0.58	120.4	0.8366	0.1634	3.89
0.59	127.6	0.8421	0.1579	3.89
0.6	139.8	0.8517	0.1483	3.7
0.61	158	0.8646	0.1354	3.7
0.62	171.9	0.8724	0.1276	3.7
0.63	186.8	0.8797	0.1203	3.7
0.64	203.4	0.8868	0.1132	3.7
0.65	217.8	0.892	0.108	3.7
0.66	230.9	0.8961	0.1039	3.7
0.67	262.7	0.9062	0.09376	3.5
0.68	286.7	0.9122	0.08777	3.5
0.69	312.5	0.9178	0.08221	3.5
0.7	340.7	0.9231	0.07693	3.5
0.71	364.2	0.9267	0.07328	3.5
0.72	394.2	0.931	0.06899	3.29
0.73	447.5	0.9379	0.06207	3.29
0.74	488	0.9421	0.05794	3.29
0.75	531.5	0.9459	0.05414	3.29
0.76	580.4	0.9496	0.05044	3.29
0.77	617.4	0.9518	0.04815	3.29
0.78	708	0.9572	0.04278	3.07
0.79	774.2	0.9603	0.03975	3.07
0.8	844.8	0.963	0.03699	3.07
0.81	921.3	0.9656	0.03443	3.07
0.82	1001	0.9678	0.03216	2.83
0.83	1137	0.9712	0.02876	2.83
0.84	1249	0.9734	0.02656	2.83
0.85	1362	0.9753	0.02469	2.83
0.86	1469	0.9768	0.02319	2.83
0.87	1670	0.9793	0.0207	2.58
0.88	1868	0.9813	0.01875	2.58
0.89	2053	0.9827	0.01728	2.58
0.9	2237	0.9839	0.01606	2.58
0.91	2431	0.985	0.01496	2.3
0.92	2781	0.9868	0.01324	2.3
0.93	3089	0.9879	0.01206	2.3
0.94	3355	0.9888	0.01124	2.3
0.95	3646	0.9895	0.01046	2.3
0.96	4358	0.9911	0.008856	1.99
0.97	4997	0.9922	0.007813	1.99
0.98	5625	0.993	0.007018	1.99
0.99	7408	0.9946	0.005391	1.64
1	1.117e+04	0.9964	0.003619	0
SEPQ0.1=0.0698 SEPQ1=0.1392 SEPQ10=0.3066 S1FP=0.3108 N1FP=141341 area=4.59
