tpr	epq	fpr	precision	score
0.01	0.001249	0.003069	0.9969	32.9
0.02	0.00446	0.005467	0.9945	28.7
0.03	0.01204	0.009798	0.9902	25.5
0.04	0.02203	0.0134	0.9866	23.3
0.05	0.0355	0.0172	0.9828	21.5
0.06	0.05539	0.02225	0.9777	20
0.07	0.08545	0.02921	0.9708	18.7
0.08	0.1174	0.03491	0.9651	17.7
0.09	0.154	0.04049	0.9595	16.9
0.1	0.2003	0.04706	0.9529	16.2
0.11	0.2548	0.05403	0.946	15.6
0.12	0.3223	0.0621	0.9379	15
0.13	0.4182	0.07348	0.9265	14.5
0.14	0.5333	0.08585	0.9142	14.1
0.15	0.6542	0.09708	0.9029	13.7
0.16	0.7919	0.1087	0.8913	13.3
0.17	0.9541	0.1215	0.8785	13
0.18	1.125	0.1335	0.8665	12.6
0.19	1.326	0.1468	0.8532	12.3
0.2	1.547	0.1602	0.8398	12
0.21	1.787	0.1734	0.8266	11.8
0.22	2.042	0.1862	0.8138	11.5
0.23	2.318	0.199	0.801	11.3
0.24	2.615	0.2117	0.7883	11
0.25	2.925	0.2239	0.7761	10.8
0.26	3.221	0.2339	0.7661	10.6
0.27	3.534	0.244	0.756	10.4
0.28	3.862	0.2537	0.7463	10.2
0.29	4.191	0.2627	0.7373	10
0.3	4.529	0.2712	0.7288	9.8
0.31	4.852	0.2784	0.7216	9.7
0.32	5.194	0.2858	0.7142	9.5
0.33	5.523	0.2921	0.7079	9.3
0.34	5.874	0.2987	0.7013	9.1
0.35	6.214	0.3044	0.6956	9
0.36	6.592	0.311	0.689	8.8
0.37	6.936	0.3161	0.6839	8.7
0.38	7.323	0.3221	0.6779	8.5
0.39	7.744	0.3286	0.6714	8.4
0.4	8.169	0.3349	0.6651	8.3
0.41	8.637	0.3418	0.6582	8.1
0.42	9.083	0.3477	0.6523	8
0.43	9.616	0.3554	0.6446	7.9
0.44	10.21	0.364	0.636	7.7
0.45	10.84	0.3726	0.6274	7.6
0.46	11.51	0.3814	0.6186	7.5
0.47	12.21	0.3903	0.6097	7.4
0.48	13.04	0.4012	0.5988	7.2
0.49	13.89	0.4114	0.5886	7.1
0.5	14.81	0.422	0.578	7
0.51	15.77	0.4325	0.5675	6.9
0.52	16.89	0.4447	0.5553	6.7
0.53	18.11	0.4573	0.5427	6.6
0.54	19.44	0.4702	0.5298	6.5
0.55	21.01	0.485	0.515	6.3
0.56	22.57	0.4984	0.5016	6.2
0.57	24.31	0.5125	0.4875	6.1
0.58	26.21	0.5269	0.4731	6
0.59	28.34	0.5422	0.4578	5.8
0.6	30.6	0.557	0.443	5.7
0.61	33.07	0.572	0.428	5.6
0.62	35.71	0.5868	0.4132	5.5
0.63	38.88	0.6034	0.3966	5.3
0.64	42.19	0.6191	0.3809	5.2
0.65	45.82	0.6348	0.3652	5.1
0.66	49.71	0.65	0.35	5
0.67	54.18	0.6659	0.3341	4.8
0.68	58.81	0.6807	0.3193	4.7
0.69	64.19	0.6963	0.3037	4.6
0.7	70.29	0.7123	0.2877	4.4
0.71	76.73	0.7271	0.2729	4.3
0.72	83.86	0.7417	0.2583	4.2
0.73	91.65	0.7558	0.2442	4.1
0.74	100.4	0.7698	0.2302	3.9
0.75	110.1	0.7835	0.2165	3.8
0.76	120.6	0.7964	0.2036	3.7
0.77	133	0.8098	0.1902	3.5
0.78	145.8	0.8217	0.1783	3.4
0.79	160.3	0.8334	0.1666	3.2
0.8	176.2	0.8445	0.1555	3.1
0.81	194.6	0.8556	0.1444	3
0.82	216.6	0.8669	0.1331	2.8
0.83	239.9	0.8769	0.1231	2.7
0.84	268.6	0.8874	0.1126	2.5
0.85	303	0.8978	0.1022	2.3
0.86	341.2	0.9072	0.09276	2.2
0.87	381.9	0.9156	0.08441	2
SEPQ0.1=0.0754 SEPQ1=0.1729 SEPQ10=0.4365 S1FP=0.4756 N1FP=216279 area=9.43
