tpr	epq	fpr	precision	score
0.01	0	0	1	2.308e-21
0.02	8.92e-05	0.0001099	0.9999	2.776e-17
0.03	0.0008028	0.0006592	0.9993	1.991e-14
0.04	0.002408	0.001482	0.9985	1.631e-12
0.05	0.005798	0.00285	0.9971	4.717e-11
0.06	0.01222	0.004996	0.995	6.79e-10
0.07	0.02364	0.008256	0.9917	5.559e-09
0.08	0.03969	0.01208	0.9879	2.971e-08
0.09	0.06012	0.0162	0.9838	1.071e-07
0.1	0.08608	0.02078	0.9792	3.144e-07
0.11	0.1165	0.02544	0.9746	7.861e-07
0.12	0.1516	0.03021	0.9698	1.724e-06
0.13	0.1945	0.03556	0.9644	3.415e-06
0.14	0.243	0.04103	0.959	6.271e-06
0.15	0.2983	0.04673	0.9533	1.083e-05
0.16	0.3661	0.05339	0.9466	1.792e-05
0.17	0.4365	0.05953	0.9405	2.865e-05
0.18	0.5177	0.06621	0.9338	4.426e-05
0.19	0.6119	0.07355	0.9264	6.657e-05
0.2	0.7126	0.08074	0.9193	9.836e-05
0.21	0.8272	0.08851	0.9115	0.0001429
0.22	0.9523	0.09642	0.9036	0.0002036
0.23	1.088	0.1044	0.8956	0.0002863
0.24	1.25	0.1138	0.8862	0.0004018
0.25	1.429	0.1235	0.8765	0.0005539
0.26	1.633	0.134	0.866	0.0007577
0.27	1.848	0.1444	0.8556	0.001022
0.28	2.095	0.1557	0.8443	0.001369
0.29	2.384	0.1685	0.8315	0.001812
0.3	2.71	0.1821	0.8179	0.002384
0.31	3.07	0.1962	0.8038	0.003075
0.32	3.475	0.2112	0.7888	0.003953
0.33	3.931	0.227	0.773	0.005059
0.34	4.437	0.2434	0.7566	0.006363
0.35	5.015	0.261	0.739	0.008044
0.36	5.634	0.2784	0.7216	0.009985
0.37	6.346	0.2972	0.7028	0.01232
0.38	7.142	0.3166	0.6834	0.0152
0.39	8.021	0.3364	0.6636	0.01857
0.4	8.979	0.3563	0.6437	0.02251
0.41	10.12	0.3784	0.6216	0.02746
0.42	11.37	0.4002	0.5998	0.03324
0.43	12.73	0.4219	0.5781	0.0399
0.44	14.19	0.443	0.557	0.04757
0.45	15.86	0.4649	0.5351	0.05673
0.46	17.66	0.4863	0.5137	0.0673
0.47	19.67	0.5078	0.4922	0.07971
0.48	21.8	0.5282	0.4718	0.09354
0.49	24.18	0.5488	0.4512	0.1097
0.5	26.84	0.5695	0.4305	0.1285
0.51	29.67	0.5892	0.4108	0.1496
0.52	32.73	0.6081	0.3919	0.1736
0.53	36.14	0.627	0.373	0.2016
0.54	39.77	0.6448	0.3552	0.2329
0.55	43.84	0.6627	0.3373	0.2693
0.56	48.2	0.6797	0.3203	0.3104
0.57	52.99	0.6962	0.3038	0.3575
0.58	58.13	0.7119	0.2881	0.4099
0.59	63.82	0.7273	0.2727	0.4706
0.6	70.17	0.7425	0.2575	0.5408
0.61	76.86	0.7565	0.2435	0.6183
0.62	83.97	0.7695	0.2305	0.704
0.63	91.87	0.7824	0.2176	0.8028
0.64	100.5	0.7948	0.2052	0.9142
0.65	110.2	0.8069	0.1931	1.044
0.66	120.6	0.8183	0.1817	1.188
0.67	132.1	0.8294	0.1706	1.354
0.68	144.5	0.8397	0.1603	1.537
0.69	158.7	0.8501	0.1499	1.751
0.7	174.2	0.8599	0.1401	1.993
0.71	191.1	0.869	0.131	2.264
0.72	210.1	0.8779	0.1221	2.576
0.73	230.6	0.8862	0.1138	2.921
0.74	254.4	0.8945	0.1055	3.329
0.75	281	0.9023	0.09769	3.795
0.76	311.5	0.9099	0.09005	4.334
0.77	345.2	0.917	0.08298	4.942
0.78	382.9	0.9237	0.07632	5.63
0.79	427.9	0.9303	0.06967	6.452
0.8	480.2	0.9367	0.0633	7.417
0.81	541.7	0.9428	0.05719	8.559
0.82	616	0.9488	0.05123	9.945
0.83	704.5	0.9544	0.04561	11.59
0.84	812.4	0.9597	0.04025	13.6
0.85	948.9	0.9649	0.03506	16.12
0.86	1122	0.9698	0.03016	19.3
0.87	1348	0.9745	0.02552	23.43
0.88	1631	0.9786	0.02141	28.59
0.89	2034	0.9826	0.01744	35.92
0.9	2616	0.9862	0.01376	46.7
0.91	3431	0.9894	0.01064	62.94
0.92	4525	0.9918	0.00818	90.95
0.93	5168	0.9928	0.007227	103
SEPQ0.1=0.1051 SEPQ1=0.2238 SEPQ10=0.4090 S1FP=0.3907 N1FP=177658 area=8.05
