tpr	epq	fpr	precision	score
0.01	0.001695	0.00416	0.9958	0.322
0.02	0.004817	0.005902	0.9941	0.285
0.03	0.01186	0.009654	0.9903	0.261
0.04	0.01837	0.0112	0.9888	0.242
0.05	0.02899	0.01409	0.9859	0.227
0.06	0.04397	0.01775	0.9823	0.215
0.07	0.06396	0.02203	0.978	0.204
0.08	0.08955	0.02685	0.9731	0.194
0.09	0.1222	0.03239	0.9676	0.186
0.1	0.1617	0.03834	0.9617	0.178
0.11	0.2164	0.04625	0.9537	0.171
0.12	0.2772	0.05388	0.9461	0.164
0.13	0.3563	0.06328	0.9367	0.158
0.14	0.4455	0.07275	0.9273	0.153
0.15	0.5625	0.08462	0.9154	0.148
0.16	0.6689	0.09343	0.9066	0.143
0.17	0.8311	0.1076	0.8924	0.139
0.18	1.005	0.1209	0.8791	0.134
0.19	1.209	0.1356	0.8644	0.131
0.2	1.454	0.152	0.848	0.127
0.21	1.728	0.1686	0.8314	0.123
0.22	2.018	0.1844	0.8156	0.12
0.23	2.338	0.2004	0.7996	0.117
0.24	2.714	0.218	0.782	0.114
0.25	3.134	0.2361	0.7639	0.112
0.26	3.572	0.253	0.747	0.109
0.27	4.093	0.272	0.728	0.107
0.28	4.646	0.2903	0.7097	0.104
0.29	5.198	0.3065	0.6935	0.102
0.3	5.844	0.3244	0.6756	0.1
0.31	6.518	0.3414	0.6586	0.098
0.32	7.241	0.3581	0.6419	0.096
0.33	8.062	0.3759	0.6241	0.094
0.34	8.935	0.3932	0.6068	0.092
0.35	9.798	0.4083	0.5917	0.09
0.36	10.87	0.4267	0.5733	0.089
0.37	11.92	0.4426	0.5574	0.087
0.38	13.07	0.4589	0.5411	0.086
0.39	14.34	0.4755	0.5245	0.084
0.4	15.68	0.4914	0.5086	0.082
0.41	17.03	0.506	0.494	0.081
0.42	18.59	0.5218	0.4782	0.079
0.43	20.25	0.5373	0.4627	0.078
0.44	21.92	0.5512	0.4488	0.076
0.45	23.81	0.566	0.434	0.075
0.46	25.9	0.5813	0.4187	0.074
0.47	27.96	0.5946	0.4054	0.072
0.48	30.31	0.6089	0.3911	0.071
0.49	32.79	0.6226	0.3774	0.07
0.5	35.32	0.6352	0.3648	0.068
0.51	38.11	0.6482	0.3518	0.067
0.52	41.2	0.6614	0.3386	0.066
0.53	44.44	0.6739	0.3261	0.064
0.54	47.82	0.6858	0.3142	0.063
0.55	51.38	0.6972	0.3028	0.062
0.56	55.34	0.709	0.291	0.061
0.57	59.64	0.7206	0.2794	0.059
0.58	64.24	0.7319	0.2681	0.058
0.59	69.2	0.743	0.257	0.057
0.6	74.47	0.7537	0.2463	0.056
0.61	80	0.7638	0.2362	0.054
0.62	86.19	0.7741	0.2259	0.053
0.63	92.89	0.7842	0.2158	0.052
0.64	100	0.7939	0.2061	0.051
0.65	108.1	0.8039	0.1961	0.049
0.66	116.6	0.8133	0.1867	0.048
0.67	125.6	0.8221	0.1779	0.047
0.68	136.2	0.8316	0.1684	0.045
0.69	147.4	0.8404	0.1596	0.044
0.7	160.1	0.8494	0.1506	0.042
0.71	173.7	0.8578	0.1422	0.041
0.72	189.7	0.8666	0.1334	0.039
0.73	206.7	0.8747	0.1253	0.037
0.74	227.1	0.8833	0.1167	0.036
0.75	250.9	0.8918	0.1082	0.034
0.76	277.6	0.9001	0.09994	0.032
0.77	309.5	0.9083	0.09168	0.029
0.78	347	0.9164	0.08356	0.027
0.79	394.2	0.9248	0.07519	0.023
0.8	452.4	0.9331	0.06693	0.019
0.81	535.1	0.9422	0.05785	0.011
0.82	572.4	0.9455	0.05448	0
SEPQ0.1=0.0833 SEPQ1=0.1798 SEPQ10=0.3520 S1FP=0.2203 N1FP=100186 area=6.27
