tpr	epq	fpr	precision	score
0.01	0	0	1	1.5e-37
0.02	0	0	1	3.72e-31
0.03	0	0	1	8.84e-27
0.04	0	0	1	1.91e-23
0.05	0.0001784	8.795e-05	0.9999	7.14e-21
0.06	0.0003568	0.0001466	0.9999	6.17e-19
0.07	0.0007136	0.0002512	0.9997	2.77e-17
0.08	0.001606	0.0004945	0.9995	7.08e-16
0.09	0.004282	0.001171	0.9988	9.6e-15
0.1	0.006779	0.001668	0.9983	8.94e-14
0.11	0.009455	0.002114	0.9979	6.74e-13
0.12	0.01409	0.002887	0.9971	3.85e-12
0.13	0.02069	0.003909	0.9961	1.75e-11
0.14	0.02765	0.004845	0.9952	7.78e-11
0.15	0.03514	0.005743	0.9943	2.75e-10
0.16	0.04496	0.006879	0.9931	8.99e-10
0.17	0.05664	0.008147	0.9919	2.55e-09
0.18	0.0694	0.009415	0.9906	7.11e-09
0.19	0.0867	0.01112	0.9889	1.86e-08
0.2	0.1092	0.01328	0.9867	4.71e-08
0.21	0.1361	0.01573	0.9843	1.11e-07
0.22	0.1738	0.01911	0.9809	2.66e-07
0.23	0.2176	0.02279	0.9772	6.03e-07
0.24	0.2799	0.02795	0.9721	1.36e-06
0.25	0.3493	0.0333	0.9667	2.86e-06
0.26	0.4508	0.04099	0.959	6.03e-06
0.27	0.5792	0.05022	0.9498	1.27e-05
0.28	0.7203	0.05963	0.9404	2.49e-05
0.29	0.9055	0.07148	0.9285	4.81e-05
0.3	1.134	0.08526	0.9147	9.44e-05
0.31	1.419	0.1014	0.8986	0.000183
0.32	1.775	0.1203	0.8797	0.000348
0.33	2.194	0.1408	0.8592	0.000633
0.34	2.706	0.164	0.836	0.0012
0.35	3.319	0.1895	0.8105	0.0021
0.36	4.059	0.2175	0.7825	0.0038
0.37	4.917	0.2467	0.7533	0.0065
0.38	5.95	0.2785	0.7215	0.0114
0.39	7.164	0.3117	0.6883	0.0194
0.4	8.681	0.3485	0.6515	0.0336
0.41	10.39	0.3846	0.6154	0.0566
0.42	12.52	0.4235	0.5765	0.0972
0.43	14.97	0.4618	0.5382	0.1639
0.44	17.87	0.5003	0.4997	0.2773
0.45	21.35	0.539	0.461	0.4721
0.46	25.63	0.5787	0.4213	0.821
0.47	30.64	0.6164	0.3836	1.4
0.48	36.46	0.6519	0.3481	2.4
0.49	43.6	0.6868	0.3132	4.3
0.5	51.93	0.7191	0.2809	7.6
0.51	56.32	0.7334	0.2666	10
SEPQ0.1=0.1960 SEPQ1=0.2942 SEPQ10=0.4077 S1FP=0.3209 N1FP=145914 area=7.54
