tpr	epq	fpr	precision	score
0.01	0	0	1	6.07e-07
0.02	0	0	1	6.58e-06
0.03	0	0	1	3.81e-05
0.04	0.0001784	0.0001099	0.9999	0.000131
0.05	0.0006244	0.0003077	0.9997	0.000339
0.06	0.001516	0.0006226	0.9994	0.000749
0.07	0.002587	0.0009101	0.9991	0.0015
0.08	0.004549	0.0014	0.9986	0.0027
0.09	0.007403	0.002024	0.998	0.0045
0.1	0.01204	0.00296	0.997	0.0074
0.11	0.01927	0.004299	0.9957	0.0116
0.12	0.02863	0.005848	0.9942	0.0174
0.13	0.04139	0.007787	0.9922	0.0256
0.14	0.05789	0.01009	0.9899	0.0371
0.15	0.0768	0.01246	0.9875	0.052
0.16	0.1016	0.01541	0.9846	0.0712
0.17	0.1292	0.0184	0.9816	0.0976
0.18	0.1648	0.02208	0.9779	0.1312
0.19	0.2041	0.0258	0.9742	0.1748
0.2	0.2582	0.03085	0.9692	0.2279
0.21	0.3155	0.03571	0.9643	0.2936
0.22	0.3907	0.04194	0.9581	0.3786
0.23	0.4801	0.04894	0.9511	0.4817
0.24	0.5904	0.05718	0.9428	0.6054
0.25	0.7222	0.06648	0.9335	0.7618
0.26	0.875	0.07661	0.9234	0.9486
0.27	1.06	0.08824	0.9118	1.1
0.28	1.273	0.1008	0.8992	1.2
0.29	1.523	0.1146	0.8854	1.3
0.3	1.831	0.1308	0.8692	1.3
0.31	2.187	0.1482	0.8518	1.4
0.32	2.616	0.1678	0.8322	1.5
0.33	3.143	0.1901	0.8099	1.6
0.34	3.763	0.2144	0.7856	1.7
0.35	4.547	0.2426	0.7574	1.8
0.36	5.501	0.2736	0.7264	1.9
0.37	6.775	0.311	0.689	2.1
0.38	8.507	0.3556	0.6444	2.2
0.39	10.86	0.4071	0.5929	2.3
0.4	14.61	0.4738	0.5262	2.5
0.41	21.22	0.5606	0.4394	2.7
0.42	36.66	0.6827	0.3173	3
0.43	92.23	0.8417	0.1583	3.8
SEPQ0.1=0.1595 SEPQ1=0.2672 SEPQ10=0.3868 S1FP=0.3484 N1FP=158425 area=6.96
