d1ykwa1	0.94	0.546	0.0096	0.0000
d1v2da_	0.931	0.459	0.0193	0.0000
d1fmca_	0.925	0.575	0.0289	0.0000
d1f74a_	0.92	0.513	0.0386	0.0000
d1sumb_	0.916	0.586	0.0482	0.0000
d1bs0a_	0.913	0.453	0.0578	0.0000
d1r2qa_	0.909	0.655	0.0675	0.0000
d1knva_	0.905	0.496	0.0771	0.0000
d1uufa2	0.901	0.571	0.0868	0.0000
d2wura_	0.898	0.455	0.0964	0.0000
d2pqca_	0.895	0.363	0.1060	0.0000
d1vioa2	0.892	0.544	0.1157	0.0000
d1zjja_	0.889	0.501	0.1253	0.0000
d3ejbb_	0.885	0.439	0.1350	0.0000
d1gnwa1	0.882	0.533	0.1446	0.0000
d1h1oa2	0.88	0.46	0.1542	0.0000
d2c40a_	0.877	0.539	0.1639	0.0000
d1zcba1	0.874	0.53	0.1735	0.0000
d1ve4a1	0.872	0.469	0.1832	0.0000
d1cpza_	0.868	0.554	0.1928	0.0000
d1nmoa_	0.866	0.447	0.2024	0.0000
d1v5va2	0.863	0.438	0.2121	0.0000
d2g5ca1	0.86	0.506	0.2217	0.0000
d2amha1	0.857	0.449	0.2314	0.0000
d1qqga2	0.854	0.532	0.2410	0.0000
d1zh8a1	0.852	0.604	0.2507	0.0000
d1t56a1	0.849	0.586	0.2603	0.0000
d3blxa_	0.846	0.481	0.2699	0.0000
d1gmua2	0.843	0.596	0.2796	0.0000
d1i1rb_	0.84	0.547	0.2892	0.0000
d1erja_	0.838	0.677	0.2989	0.0000
d1rhsa2	0.835	0.496	0.3085	0.0000
d1l3ka2	0.832	0.574	0.3181	0.0000
d2drpa2	0.83	0.488	0.3278	0.0000
d1vr5a1	0.826	0.408	0.3374	0.0000
d3n2ta_	0.824	0.551	0.3469	0.0002
d1n7oa2	0.821	0.496	0.3565	0.0002
d1ek9a_	0.819	0.503	0.3661	0.0002
d1y7ma1	0.816	0.45	0.3758	0.0002
d1p4aa2	0.812	0.51	0.3854	0.0002
d1md6a_	0.81	0.41	0.3951	0.0002
d1th8b_	0.807	0.581	0.4046	0.0003
d1npsa_	0.804	0.484	0.4142	0.0003
d2wzma_	0.8	0.567	0.4238	0.0004
d1in4a2	0.797	0.439	0.4334	0.0004
d1g2na_	0.793	0.449	0.4430	0.0004
d2g7ga2	0.79	0.541	0.4526	0.0004
d1xjva1	0.787	0.471	0.4623	0.0004
d2ge7a1	0.784	0.394	0.4718	0.0005
d1g5aa2	0.781	0.49	0.4812	0.0007
d1hrua_	0.777	0.417	0.4908	0.0008
d7reqa2	0.774	0.603	0.5004	0.0008
d1y1pa1	0.77	0.539	0.5101	0.0008
d1dz3a_	0.767	0.597	0.5197	0.0008
d3bypa1	0.763	0.602	0.5293	0.0009
d1w0ha_	0.759	0.447	0.5389	0.0009
d1whya_	0.754	0.535	0.5484	0.0010
d1o70a1	0.751	0.47	0.5580	0.0011
d1gl5a_	0.747	0.473	0.5674	0.0012
d1zj8a2	0.743	0.453	0.5770	0.0013
d1khia1	0.739	0.512	0.5863	0.0016
d1isua_	0.734	0.405	0.5960	0.0016
d1ueka1	0.729	0.425	0.6052	0.0020
d1e8ca2	0.724	0.529	0.6146	0.0022
d2dt6a1	0.72	0.502	0.6239	0.0025
d1uwva1	0.715	0.475	0.6332	0.0029
d1sjra_	0.71	0.586	0.6425	0.0031
d1g7ea_	0.704	0.458	0.6515	0.0037
d3n9ka_	0.699	0.545	0.6609	0.0040
d1p9oa_	0.693	0.572	0.6700	0.0045
d1uvqa2	0.687	0.499	0.6794	0.0047
d3beca1	0.681	0.562	0.6883	0.0054
