d1eg5a_	8.25e-83	0.62	0.0093	0.0000
d2pida_	1.9e-69	0.26	0.0186	0.0000
d1w5qa_	1.9e-63	3.5	0.0279	0.0000
d1zrna_	3.85e-58	0.34	0.0373	0.0000
d3pvja_	8.69e-55	0.041	0.0466	0.0000
d3le2a_	6.61e-52	0.39	0.0559	0.0000
d1k9oi_	7.69e-49	1.2	0.0652	0.0000
d1oy5a_	1.41e-46	0.59	0.0745	0.0000
d1erja_	5.21e-44	2.4	0.0838	0.0000
d2e18a_	6.66e-42	1.1	0.0931	0.0000
d1rypg_	3.6e-40	0.084	0.1024	0.0000
d1y5ea1	8.68e-39	0.018	0.1118	0.0000
d1wl8a1	4.72e-37	0.48	0.1211	0.0000
d3q80a_	1.99e-35	1.3	0.1304	0.0000
d1kwfa_	3.83e-34	0.71	0.1397	0.0000
d1ne6a2	8.93e-33	0.55	0.1490	0.0000
d2idxa_	1.1e-31	1.5	0.1583	0.0000
d1r8sa_	9.67e-31	2.1	0.1676	0.0000
d1ohwa_	1.06e-29	0.37	0.1769	0.0000
d1nzia1	8.83e-29	1.1	0.1863	0.0000
d1kopa_	1.17e-27	0.098	0.1956	0.0000
d3d9ta1	9.28e-27	1.2	0.2049	0.0000
d1q6za3	6.6e-26	0.85	0.2142	0.0000
d3r04a_	4.85e-25	.	0.2235	0.0000
d1wy5a1	4.84e-24	0.43	0.2328	0.0000
d2imla1	5.53e-23	0.81	0.2421	0.0000
d1th8b_	3.36e-22	1.5	0.2514	0.0000
d2ji7a2	2.79e-21	0.082	0.2608	0.0000
d1jcua_	1.16e-20	0.078	0.2701	0.0000
d1hkva1	5.88e-20	0.15	0.2794	0.0000
d1ekja_	2.01e-19	0.65	0.2887	0.0000
d3o79a_	8.44e-19	0.53	0.2980	0.0000
d1bhga3	4.94e-18	2.5	0.3073	0.0000
d3n4ib_	2.79e-17	0.61	0.3166	0.0000
d2hfna_	1.17e-16	3.3	0.3259	0.0000
d1dz3a_	4.44e-16	0.38	0.3353	0.0000
d3cfya_	1.28e-15	0.22	0.3446	0.0000
d3a6sa_	4.83e-15	0.5	0.3539	0.0000
d1vcla2	1.62e-14	0.18	0.3632	0.0000
d2ilka_	5.4e-14	0.32	0.3725	0.0000
d1f7ua2	1.81e-13	0.79	0.3818	0.0000
d2qrda_	5.85e-13	1.6	0.3911	0.0000
d1dmga_	1.61e-12	0.23	0.4004	0.0000
d2g3ha_	5.02e-12	1.3	0.4098	0.0000
d1z7kb_	1.28e-11	2.3	0.4191	0.0000
d3d3ra1	3.6e-11	1.4	0.4284	0.0000
d1kkha1	1.01e-10	0.093	0.4377	0.0000
d1ybza1	2.33e-10	0.15	0.4470	0.0000
d2bcqa2	5.42e-10	0.36	0.4563	0.0000
d1z0xa1	1.34e-09	0.23	0.4656	0.0000
d1ng2a1	3.14e-09	1.2	0.4749	0.0000
d1sj1a_	6.4e-09	1.2	0.4843	0.0000
d1qfja2	1.64e-08	1.1	0.4936	0.0000
d1g40a4	3.59e-08	0.5	0.5029	0.0000
d1vq8b1	6.65e-08	0.095	0.5122	0.0000
d1byfa_	1.33e-07	1.8	0.5215	0.0000
d1am9a_	3.34e-07	0.33	0.5308	0.0000
d1vk3a3	7.89e-07	0.21	0.5401	0.0000
d2je8a5	1.67e-06	0.78	0.5495	0.0000
d3cu9a_	3.97e-06	0.72	0.5588	0.0000
d1qopb_	9.49e-06	1	0.5681	0.0000
d1gpma1	1.9e-05	2.1	0.5773	0.0001
d2crya1	3.64e-05	0.38	0.5866	0.0001
d1wb9a3	8.09e-05	0.002	0.5959	0.0001
d1x48a1	0.000145	0.074	0.6052	0.0001
d1gvda_	0.000295	0.8	0.6144	0.0003
d3ddja2	0.000605	0.071	0.6231	0.0008
d1p4ta_	0.001	2.1	0.6322	0.0010
d1u6za3	0.002	0.61	0.6409	0.0016
d3fcda_	0.003	1.4	0.6494	0.0024
d2gaxa1	.	0.006	0.6577	0.0034
d1yeya2	0.01	4.4	0.6650	0.0053
d3en8a1	0.014	0.24	0.6723	0.0072
d3e5ua1	0.021	0.32	0.6799	0.0088
d2hgaa1	0.031	1.5	0.6857	0.0122
d1utea_	0.043	2	0.6903	0.0168
d2oqma1	.	0.058	0.6951	0.0211
d2jxta1	.	0.077	0.6982	0.0270
d1zara2	0.098	1	0.7027	0.0316
d2e64a1	0.12	0.036	0.7055	0.0378
d1dwka2	.	0.15	0.7083	0.0441
d2hg6a1	.	0.17	0.7111	0.0503
d1m4ua_	.	0.2	0.7134	0.0571
d1wlja_	.	0.23	0.7155	0.0640
d1r7la_	.	0.27	0.7175	0.0709
d1q88a_	.	0.31	0.7191	0.0783
d1ogad2	.	0.35	0.7207	0.0857
d2ftxb1	.	0.39	0.7215	0.0939
d1ev0a_	.	0.45	0.7221	0.1022
d2guya1	.	0.51	0.7229	0.1103
d3sxua_	.	0.56	0.7235	0.1187
d1wjwa_	.	0.63	0.7243	0.1268
d2guka1	.	0.71	0.7255	0.1347
d2pw9a1	.	0.78	0.7267	0.1424
d1t92a_	.	0.86	0.7276	0.1505
d1n93x_	.	0.95	0.7280	0.1590
d2itba1	1	0.56	0.7284	0.1675
d1dgw.1	1.2	0.57	0.7290	0.1759
d1jr1a4	1.3	0.37	0.7294	0.1845
d2f76x1	.	1.4	0.7297	0.1930
d1r9fa_	.	1.6	0.7299	0.2018
d1eg3a1	1.8	0.061	0.7302	0.2104
d1e7ua3	2	0.14	0.7308	0.2188
d1v5ra1	.	2.2	0.7310	0.2275
d1itua_	.	2.5	0.7312	0.2362
d1yo3a_	.	2.8	0.7316	0.2448
d1n08a_	.	3.2	0.7321	0.2532
d3fapb_	.	3.6	0.7323	0.2620
d1e6ba1	4.5	0.57	0.7324	0.2708
d1rkia1	.	5.8	0.7325	0.2795
d1wima_	7.2	0.35	0.7326	0.2884
d2fd6u1	10	1.3	0.7327	0.2970
