d3loga_	2.46e-14	.	0.0096	0.0000
d1m4la_	3.11e-13	6.3	0.0193	0.0000
d1xa1a_	1.14e-12	.	0.0289	0.0000
d1n62c2	4.2e-12	9.9	0.0386	0.0000
d3cjib_	9.51e-12	.	0.0482	0.0000
d3hgpa_	2.02e-11	.	0.0578	0.0000
d1t71a_	4.12e-11	2.6	0.0675	0.0000
d1ydea1	8.13e-11	1.6	0.0771	0.0000
d1wlta1	1.42e-10	9.1	0.0868	0.0000
d2jfra_	2.45e-10	4.1	0.0964	0.0000
d1xgsa2	4.22e-10	2.5	0.1060	0.0000
d2jama_	7.25e-10	2.1	0.1157	0.0000
d1vbfa_	1.4e-09	0.193	0.1253	0.0000
d2bw4a1	2.14e-09	.	0.1350	0.0000
d2ew0a1	3.26e-09	.	0.1446	0.0000
d1z45a1	4.77e-09	.	0.1542	0.0000
d1g8fa2	7.37e-09	2.3	0.1639	0.0000
d3r26a_	1.16e-08	2.6	0.1735	0.0000
d3cswa_	1.72e-08	.	0.1832	0.0000
d1rz0a_	2.46e-08	8.6	0.1928	0.0000
d1ne6a2	3.64e-08	5.8	0.2024	0.0000
d1thxa_	5.13e-08	5.6	0.2121	0.0000
d2f7fa1	8.06e-08	3.4	0.2217	0.0000
d3ugsa_	1.11e-07	.	0.2314	0.0000
d3jxya_	1.57e-07	.	0.2410	0.0000
d2ak3a1	2.04e-07	1.3	0.2507	0.0000
d1bvyf_	2.78e-07	0.543	0.2603	0.0000
d1kxoa_	3.91e-07	1.3	0.2699	0.0000
d1gska2	5.17e-07	.	0.2796	0.0000
d3ctda1	7.17e-07	9.3	0.2892	0.0000
d1q6za3	9.56e-07	7.2	0.2989	0.0000
d1w68a_	1.28e-06	.	0.3085	0.0000
d1v9ya_	1.74e-06	1.8	0.3181	0.0000
d1vp6a_	2.49e-06	.	0.3278	0.0000
d1zn6a1	3.37e-06	.	0.3374	0.0000
d1g5ha2	4.5e-06	.	0.3471	0.0000
d1owfa_	5.79e-06	7.8	0.3567	0.0000
d1sddb2	7.41e-06	5	0.3663	0.0000
d2qs8a1	9.78e-06	.	0.3760	0.0000
d1k7ca_	1.28e-05	1.2	0.3856	0.0000
d2rgqa1	1.64e-05	1.6	0.3953	0.0000
d1n9wa1	2.1e-05	0.0106	0.4049	0.0000
d1j7xa_	2.69e-05	7.2	0.4145	0.0000
d3brja1	3.34e-05	6.6	0.4242	0.0000
d3s3ta_	4.06e-05	0.325	0.4338	0.0000
d1k3ya1	5.13e-05	2.6	0.4435	0.0000
d2w0ia_	6.33e-05	.	0.4531	0.0000
d1fp2a1	7.78e-05	1.1	0.4627	0.0000
d3heib_	9.39e-05	5.7	0.4724	0.0000
d2fe1a1	0.000114	5.2	0.4820	0.0000
d3agna_	0.000135	4.4	0.4917	0.0000
d2vhla1	0.000164	8.8	0.5013	0.0000
d2gvha1	0.000212	7	0.5109	0.0000
d2dy1a5	0.000257	0.304	0.5205	0.0001
d1aisb2	0.000305	6.2	0.5299	0.0003
d1btna_	0.000381	7.2	0.5396	0.0003
d1x4za1	0.00045	1.7	0.5492	0.0003
d1gsha2	0.000551	5.2	0.5589	0.0003
d2crza1	0.000695	3.4	0.5685	0.0003
d1epfa1	0.000841	0.231	0.5781	0.0003
d1kw4a_	0.001	0.309	0.5878	0.0003
d1wk0a_	0.0012	2.9	0.5974	0.0003
d2dtra3	0.0014	3.7	0.6071	0.0003
d3jqwa_	0.0017	1.6	0.6167	0.0003
d1alna1	0.0022	4.9	0.6263	0.0003
d1irxa2	0.0027	7.7	0.6360	0.0003
d1jmca2	0.0034	0.0773	0.6456	0.0003
d1vk3a2	0.0042	1.7	0.6553	0.0003
d1vk0a_	0.0052	3.6	0.6649	0.0003
d1ibya_	0.0062	4.6	0.6745	0.0003
d1dbha1	0.0077	.	0.6841	0.0004
d1x6za_	0.009	8.2	0.6936	0.0004
d2hd9a1	0.0107	7.4	0.7031	0.0006
d2gv8a2	0.013	4.6	0.7125	0.0008
d1p5dx3	0.0161	6.5	0.7222	0.0008
d2l65a1	0.0193	4.4	0.7318	0.0008
d1xbta2	0.024	.	0.7413	0.0009
d1uc8a1	0.0314	0.542	0.7509	0.0010
d2dofa1	0.0383	5.7	0.7601	0.0013
d1a0ia1	0.0482	5.8	0.7694	0.0017
d1oq1a_	0.0588	.	0.7788	0.0019
d1otga_	0.0701	1.9	0.7884	0.0020
d1scfa_	0.0864	.	0.7977	0.0022
d2o37a_	0.111	7.5	0.8071	0.0025
d2o1qa1	0.14	.	0.8164	0.0029
d1iwga6	0.17	7.1	0.8253	0.0035
d1dv0a_	0.214	2.1	0.8340	0.0044
d2b5ib1	0.265	6.7	0.8420	0.0059
d1qasa1	0.364	3.3	0.8504	0.0070
d2hqya2	0.454	9.3	0.8590	0.0080
d1kjqa1	0.577	1.5	0.8670	0.0095
d3amra_	.	0.744	0.8747	0.0113
d1t7sa_	.	0.928	0.8823	0.0132
d2ffma_	.	1.2	0.8886	0.0163
d1m93.1	1.6	.	0.8949	0.0194
d1wila_	2	.	0.8995	0.0240
d1bi6h1	.	2.6	0.9033	0.0294
d2zxxc_	3.1	.	0.9075	0.0345
d2o3bb_	.	3.9	0.9104	0.0407
d3brda2	4.8	7.8	0.9138	0.0465
d1olza2	.	6	0.9159	0.0534
d1hufa_	.	7.1	0.9181	0.0604
d2sici_	.	8.3	0.9200	0.0675
d2ayda_	.	10	0.9208	0.0747
