d1ks8a_	2.44e-14	.	0.0096	0.0000
d1jqia2	2.78e-13	5.7	0.0193	0.0000
d1xoca1	1.08e-12	.	0.0289	0.0000
d2rbka_	3.36e-12	6.9	0.0386	0.0000
d3fe4a_	8.43e-12	.	0.0482	0.0000
d1r55a_	1.9e-11	1.6	0.0578	0.0000
d1eu1a2	3.58e-11	.	0.0675	0.0000
d2jdid3	7.04e-11	8.9	0.0771	0.0000
d3ai2a_	1.22e-10	1.5	0.0868	0.0000
d1nexb2	2.14e-10	0.294	0.0964	0.0000
d1guza2	3.63e-10	.	0.1060	0.0000
d1ywqa1	6.12e-10	.	0.1157	0.0000
d3eb2a_	1.06e-09	.	0.1253	0.0000
d1mvha_	1.86e-09	.	0.1350	0.0000
d1rd5a_	2.77e-09	8.4	0.1446	0.0000
d3nzbx_	3.95e-09	.	0.1542	0.0000
d1n45a_	6.34e-09	.	0.1639	0.0000
d2pb9a1	9.48e-09	.	0.1735	0.0000
d2gtia1	1.41e-08	.	0.1832	0.0000
d2ywxa_	2.07e-08	0.644	0.1928	0.0000
d1sfla_	3.04e-08	.	0.2024	0.0000
d3cx5b1	4.53e-08	3	0.2121	0.0000
d3boma_	6.51e-08	7.5	0.2217	0.0000
d2imla1	9.33e-08	3.6	0.2314	0.0000
d2evea1	1.36e-07	8.5	0.2410	0.0000
d2o0ma1	1.8e-07	5.2	0.2507	0.0000
d3ph9a_	2.37e-07	.	0.2603	0.0000
d2yx6a_	3.39e-07	0.985	0.2699	0.0000
d1neka1	4.47e-07	7.4	0.2796	0.0000
d1h9aa1	6.01e-07	6.2	0.2892	0.0000
d2ntpa_	8.06e-07	.	0.2989	0.0000
d1jr8a_	1.08e-06	4.5	0.3085	0.0000
d2imqx_	1.44e-06	.	0.3181	0.0000
d2q2ia_	1.98e-06	.	0.3278	0.0000
d3s26a_	2.75e-06	5.8	0.3374	0.0000
d2fvka1	3.87e-06	9.1	0.3471	0.0000
d3dxsx_	4.84e-06	2	0.3567	0.0000
d1w5fa2	6.28e-06	.	0.3663	0.0000
d1u0sy_	8.33e-06	0.541	0.3760	0.0000
d1ppya_	1.07e-05	5.3	0.3856	0.0000
d1cxya_	1.41e-05	.	0.3953	0.0000
d1tjgh1	1.77e-05	.	0.4049	0.0000
d1h3na2	2.29e-05	.	0.4145	0.0000
d1uj0a_	2.98e-05	6.1	0.4242	0.0000
d1xr4a2	3.61e-05	1.2	0.4338	0.0000
d1g6xa_	4.38e-05	.	0.4435	0.0000
d3t4na_	5.38e-05	3.6	0.4531	0.0000
d1k3ya2	6.86e-05	3.8	0.4627	0.0000
d1ri5a_	8.08e-05	0.214	0.4724	0.0000
d2prva1	9.91e-05	.	0.4820	0.0000
d2edma1	0.000118	1.9	0.4917	0.0000
d2g82a2	0.000141	4.7	0.5013	0.0000
d1foea1	0.000176	.	0.5109	0.0000
d3c9ua2	0.000221	.	0.5206	0.0000
d1rwia_	0.000267	0.0016	0.5302	0.0000
d1ujda_	0.000316	6.1	0.5399	0.0000
d3ui4a_	0.000396	.	0.5495	0.0000
d1mpga1	0.000466	5.4	0.5591	0.0000
d1ji1a2	0.000582	4.2	0.5688	0.0000
d3by5a1	0.000721	2.1	0.5784	0.0000
d1bupa2	0.000856	3.2	0.5881	0.0000
d2e1fa_	0.001	9.9	0.5977	0.0000
d2ozbb1	0.0012	.	0.6073	0.0000
d1u8va2	0.0015	6.5	0.6170	0.0000
d1t0za_	0.0018	.	0.6265	0.0001
d2cuha1	0.0022	.	0.6362	0.0001
d2i5vo_	0.0027	.	0.6458	0.0001
d2baya_	0.0035	0.602	0.6555	0.0001
d1w3ba_	0.0043	.	0.6651	0.0001
d1jkna_	0.0053	.	0.6747	0.0001
d1wjra_	0.0063	5.6	0.6844	0.0001
d1jtdb_	0.0078	.	0.6940	0.0001
d3lb2a_	0.0092	7.4	0.7037	0.0001
d2pyta1	0.0109	9.6	0.7133	0.0001
d3m1ta_	0.0132	.	0.7229	0.0001
d1hq1a_	0.0166	1.4	0.7326	0.0001
d1mlaa2	0.0198	4.9	0.7422	0.0001
d2bnma2	0.0245	4.4	0.7519	0.0001
d1coza_	0.0319	1	0.7614	0.0002
d2ogqa2	0.0392	8.4	0.7710	0.0002
d2csba4	0.0491	0.725	0.7805	0.0004
d1f7la_	0.0604	4.7	0.7900	0.0004
d1x1na1	0.072	2	0.7997	0.0004
d1fcdc2	0.0918	.	0.8092	0.0005
d2nn6g2	0.113	4.8	0.8189	0.0005
d1wa5c_	0.146	.	0.8283	0.0007
d2e9xd1	0.176	.	0.8378	0.0008
d1cf7b_	0.229	5.6	0.8469	0.0013
d2dira1	0.297	3.5	0.8560	0.0019
d1jb7b_	0.392	.	0.8654	0.0021
d1vl6a2	0.498	1.4	0.8749	0.0022
d1zs4a1	.	0.654	0.8841	0.0026
d1sr2a_	0.857	.	0.8924	0.0038
d2p62a1	.	1.1	0.9003	0.0054
d1tg7a3	1.5	7.7	0.9077	0.0075
d1niga_	2	.	0.9131	0.0114
d2vhja_	2.5	.	0.9179	0.0160
d1vkya_	.	3.2	0.9226	0.0205
d3dkma_	.	4	0.9260	0.0263
d1hy9a_	.	5	0.9290	0.0325
d1ozja_	.	6.1	0.9316	0.0390
d1imta2	.	7.2	0.9336	0.0460
d4sgbi_	.	8.3	0.9357	0.0530
d2ayda_	.	10	0.9370	0.0605
