d1g61a_	0.301	0.48	0.0099	0.0010
d2h6fa1	0.321	0.343	0.0184	0.0031
d2avda1	0.333	0.384	0.0272	0.0050
d1yvra1	.	0.341	0.0353	0.0074
d1a17a_	0.348	0.438	0.0426	0.0105
d1jeta_	0.354	0.322	0.0503	0.0133
d1f75a_	0.36	0.436	0.0570	0.0168
d1bd3a_	0.364	0.468	0.0645	0.0197
d1bw0a_	0.369	0.298	0.0726	0.0221
d2f48a_	.	0.374	0.0803	0.0249
d1pjha_	0.379	0.394	0.0881	0.0276
d1hqsa_	0.384	0.396	0.0944	0.0315
d2bbva_	.	0.388	0.1001	0.0359
d3c8ya1	.	0.392	0.1061	0.0400
d1vmia_	0.396	0.384	0.1116	0.0444
d1fuka_	0.399	0.433	0.1183	0.0480
d1tqya1	0.403	0.447	0.1239	0.0524
d1ef8a_	0.406	0.393	0.1305	0.0561
d1i4na_	0.41	0.437	0.1359	0.0607
d1hnja1	0.413	0.53	0.1421	0.0647
d1v9da_	0.416	0.392	0.1487	0.0682
d1t5oa_	0.419	0.407	0.1544	0.0726
d1lnsa3	0.423	0.449	0.1592	0.0777
d2hu7a1	.	0.426	0.1637	0.0830
d1ihua2	0.43	0.426	0.1688	0.0879
d1m40a_	0.432	0.392	0.1730	0.0934
d1hl9a2	.	0.436	0.1797	0.0970
d2a8ea1	.	0.439	0.1847	0.1019
d1eg2a_	0.442	0.46	0.1891	0.1073
d1aym3_	0.445	0.458	0.1947	0.1118
d1i71a_	0.448	0.557	0.1992	0.1170
d3no6a_	0.451	0.428	0.2036	0.1225
d1tqha_	.	0.453	0.2092	0.1268
d1qlwa_	.	0.456	0.2127	0.1330
d2pqra_	0.459	0.481	0.2181	0.1376
d1k7ca_	.	0.462	0.2231	0.1425
d2r1jl_	0.464	0.493	0.2267	0.1485
d1tdqa1	0.467	0.579	0.2306	0.1543
d1q7fa_	0.469	0.385	0.2359	0.1590
d1xeqa1	0.472	0.472	0.2400	0.1647
d1de4c2	0.474	0.523	0.2441	0.1703
d1r31a2	0.477	0.436	0.2485	0.1757
d1m70a2	0.479	0.43	0.2525	0.1814
d1ug3a2	0.481	0.419	0.2572	0.1866
d1o1ya_	0.484	0.483	0.2607	0.1927
d2p5ia1	0.486	0.477	0.2648	0.1983
d1sdoa_	.	0.488	0.2684	0.2044
d1juva_	0.491	0.515	0.2722	0.2102
d2fufa_	.	0.494	0.2768	0.2155
d1u0ma2	0.497	0.525	0.2808	0.2212
d1nkqa_	0.5	0.532	0.2841	0.2275
d1ji1a1	0.502	0.541	0.2896	0.2320
d1ybfa_	0.504	0.505	0.2940	0.2374
d1ucra_	.	0.507	0.2987	0.2425
d2rk5a1	0.509	0.564	0.3017	0.2490
d1dq3a2	.	0.512	0.3056	0.2548
d1vh5a_	0.514	0.504	0.3090	0.2611
d2fxta1	0.516	0.473	0.3122	0.2674
d2hi1a_	0.519	0.409	0.3164	0.2729
d2i10a1	0.521	0.459	0.3192	0.2796
d2bv4a_	0.523	0.6	0.3230	0.2855
d1zo0a1	.	0.526	0.3268	0.2914
d4ubpa_	.	0.528	0.3305	0.2974
d1ihja_	0.531	0.587	0.3336	0.3038
d3c3ma_	0.534	0.547	0.3355	0.3112
d1p7ga2	0.536	0.614	0.3384	0.3178
d1dcea3	.	0.539	0.3418	0.3240
d1w9aa_	0.542	0.546	0.3441	0.3311
d2cyya1	0.545	0.554	0.3467	0.3379
d1j1ta_	0.547	0.523	0.3501	0.3441
d2co8a2	0.549	0.718	0.3516	0.3518
d2o5fa_	0.551	0.524	0.3541	0.3588
d2i9aa2	0.554	0.535	0.3568	0.3655
d2et1a_	0.557	0.534	0.3596	0.3722
d2anua1	0.559	0.474	0.3618	0.3794
d2atpb1	0.562	0.598	0.3648	0.3859
d1jnsa_	0.565	0.535	0.3675	0.3927
d1ttza_	0.568	0.533	0.3697	0.3998
d2i9ua1	0.57	0.587	0.3715	0.4073
d2d9ra1	.	0.573	0.3733	0.4148
d2ahob2	0.576	0.57	0.3752	0.4222
d1lfba_	0.579	0.516	0.3773	0.4294
d1c3ha_	0.582	0.606	0.3797	0.4364
d2q3ga_	0.585	0.464	0.3816	0.4438
d1bnda_	.	0.588	0.3832	0.4514
d2bu1a_	0.591	0.579	0.3838	0.4598
d1xjua_	0.594	0.454	0.3851	0.4678
d1ryqa_	.	0.597	0.3873	0.4749
d2esna1	0.6	0.385	0.3895	0.4820
d1wpga1	.	0.603	0.3908	0.4900
d2qtva2	0.607	0.596	0.3916	0.4982
d1vioa1	0.611	0.472	0.3930	0.5060
d1ys5a1	.	0.616	0.3938	0.5143
d2qsba1	0.619	0.518	0.3952	0.5221
d1mv8a1	0.622	0.528	0.3963	0.5301
d3proc2	0.627	0.51	0.3973	0.5382
d1ewfa2	0.632	0.581	0.3989	0.5459
d1y4wa1	0.636	0.556	0.3993	0.5545
d2al6a3	0.641	0.522	0.4000	0.5628
d2h4oa1	.	0.647	0.4004	0.5714
d2joda1	0.653	0.538	0.4010	0.5799
d2csha1	0.66	0.636	0.4013	0.5885
d1i4ja_	0.669	0.545	0.4017	0.5972
d1q0qa3	0.679	0.54	0.4018	0.6060
d2vzsa2	0.688	0.611	0.4019	0.6148
d1haea_	0.696	0.58	0.4019	0.6238
d1vfya_	0.71	0.566	0.4020	0.6326
d1kbha_	0.723	0.487	0.4021	0.6414
d1mrza1	0.741	0.654	0.4022	0.6503
d1b4ra_	0.776	0.689	0.4023	0.6591
d1beia_	0.831	0.753	0.4023	0.6680
d2i9wa3	1	0.617	0.4023	0.6734
