d1qs0a_	7.84	4.89	0.0096	0.0000
d1e4mm_	7.74	5.19	0.0193	0.0000
d1elja_	7.64	4.42	0.0289	0.0000
d2af4c_	7.54	5.04	0.0386	0.0000
d1fmca_	7.54	5.19	0.0482	0.0000
d2afba_	7.44	4.89	0.0578	0.0000
d1e2ta_	7.44	4.58	0.0675	0.0000
d2bdga_	7.34	4.07	0.0771	0.0000
d1h6ta2	7.34	5.86	0.0868	0.0000
d2qp8a_	7.24	3.7	0.0964	0.0000
d1vmea2	7.24	4.89	0.1060	0.0000
d1krua_	7.24	4.89	0.1157	0.0000
d3ge6a_	7.13	4.25	0.1253	0.0000
d1vbfa_	7.13	5.46	0.1350	0.0000
d1gcia_	7.13	5.04	0.1444	0.0002
d2oqza_	7.02	3.7	0.1541	0.0002
d1wa3a_	7.02	6.58	0.1637	0.0002
d1mvha_	7.02	3.89	0.1733	0.0002
d3zqua_	6.92	5.04	0.1830	0.0002
d1utha_	6.92	4.58	0.1925	0.0003
d7odca2	6.81	5.99	0.2020	0.0004
d2elba1	6.81	6.11	0.2116	0.0004
d1ra0a2	6.81	5.73	0.2212	0.0005
d1f5xa_	6.81	5.6	0.2308	0.0005
d2j8ka1	6.7	5.46	0.2404	0.0005
d1siqa1	6.7	6.11	0.2501	0.0005
d1dkra2	6.7	5.04	0.2596	0.0006
d2qqia2	6.58	4.58	0.2692	0.0007
d1z54a1	6.58	3.89	0.2788	0.0007
d1q44a_	6.58	4.07	0.2884	0.0007
d1ifca_	6.58	4.42	0.2979	0.0009
d2vo8a1	6.47	5.46	0.3075	0.0009
d1wcua_	6.47	5.19	0.3171	0.0010
d1jfra_	6.47	4.89	0.3267	0.0010
d3gixa_	6.35	4.07	0.3364	0.0010
d2id4a1	6.35	5.33	0.3460	0.0010
d1y9wa1	6.35	4.42	0.3555	0.0011
d1qfma1	6.35	6.11	0.3650	0.0012
d1gpua3	6.35	4.58	0.3745	0.0013
d3f04a_	6.23	5.19	0.3841	0.0014
d2id3a2	6.23	5.04	0.3936	0.0015
d1xrta2	6.23	5.86	0.4032	0.0016
d1pxza_	6.23	5.33	0.4126	0.0018
d1gyta1	6.23	4.58	0.4222	0.0019
d3b48a1	6.11	5.19	0.4315	0.0021
d1ysra_	6.11	4.58	0.4410	0.0022
d1onfa2	6.11	4.58	0.4504	0.0025
d1eaja_	6.11	4.89	0.4598	0.0028
d2nw8a1	5.99	5.33	0.4694	0.0028
d1vk0a_	5.99	4.42	0.4786	0.0032
d1mjul1	5.99	4.74	0.4875	0.0038
d1c0aa2	5.99	4.89	0.4970	0.0040
d2gsca1	5.86	5.73	0.5061	0.0045
d1y14a_	5.86	4.58	0.5156	0.0046
d1qf6a1	5.86	4.89	0.5245	0.0053
d1h72c1	5.86	4.25	0.5340	0.0054
d2qapa1	5.73	5.86	0.5432	0.0058
d2a29a1	5.73	3.89	0.5524	0.0062
d1qg3a2	5.73	4.74	0.5616	0.0067
d1gmia_	5.73	4.74	0.5709	0.0070
d3b7sa1	5.6	5.46	0.5799	0.0076
d2fe5a1	5.6	3.7	0.5893	0.0078
d1v5ma_	5.6	3.89	0.5985	0.0082
d1lc0a2	5.6	4.58	0.6078	0.0085
d1am2a_	5.6	3.5	0.6169	0.0090
d2dyja1	5.46	4.74	0.6259	0.0096
d1u20a1	5.46	3.89	0.6348	0.0103
d1k8ta_	.	5.46	0.6428	0.0118
d3h2ve_	5.33	4.58	0.6523	0.0120
d2ctja1	5.33	4.42	0.6614	0.0124
d1tu1a_	5.33	4.74	0.6706	0.0128
d1heka_	5.33	4.25	0.6792	0.0138
d2wyqa_	5.19	4.74	0.6880	0.0145
d2c60a1	5.19	4.58	0.6965	0.0156
d1v43a2	5.19	4.42	0.7051	0.0166
d1mwza_	5.19	4.42	0.7134	0.0178
d1f1sa3	5.19	4.07	0.7221	0.0187
d2rdea1	5.04	4.89	0.7306	0.0198
d2al3a1	5.04	4.07	0.7389	0.0210
d1tuwa_	5.04	4.42	0.7470	0.0224
d1iyjb3	5.04	4.42	0.7549	0.0240
d3i35a_	4.89	3.89	0.7634	0.0251
d2ejqa1	4.89	4.07	0.7703	0.0277
d1tuaa2	4.89	4.42	0.7783	0.0292
d1j4wa2	4.89	4.25	0.7860	0.0310
d3buxb1	4.74	5.04	0.7933	0.0331
d2bcqa2	4.74	4.25	0.7998	0.0360
d1tvxa_	4.74	4.07	0.8068	0.0384
d1jb0c_	4.74	3.89	0.8142	0.0405
d3bzka1	4.58	4.42	0.8210	0.0432
d2ckaa1	4.58	3.7	0.8270	0.0466
d1sxja1	4.58	4.89	0.8330	0.0499
d1eg3a1	4.58	4.74	0.8394	0.0529
d2jdia2	4.42	4.25	0.8449	0.0567
d1w91a1	4.42	3.89	0.8498	0.0611
d1mxga1	4.42	3.89	0.8547	0.0655
d1c75a_	4.42	3.5	0.8603	0.0692
d2c1ia2	.	4.25	0.8638	0.0749
d1p9ga_	4.25	3.29	0.8675	0.0804
d1a9xa1	.	4.25	0.8715	0.0856
d2bh1a2	4.07	4.07	0.8747	0.0916
d1o82a_	.	4.07	0.8780	0.0974
d3u28b_	3.89	3.29	0.8819	0.1028
d1vcla3	.	3.89	0.8841	0.1096
d1egfa_	3.89	3.7	0.8873	0.1156
d2a07f1	3.7	3.89	0.8905	0.1216
d1o22a_	.	3.7	0.8937	0.1276
d2fc6a1	3.5	3.07	0.8968	0.1336
d1e0na_	3.5	3.5	0.8994	0.1401
d2ftxa1	3.07	4.07	0.9008	0.1477
d1m1xb4	2.83	2.83	0.9019	0.1557
d2jz6a1	1.24	3.5	0.9020	0.1645
d1bi6.2	0	0	0.9020	0.1655
