d3niaa_	.	4.8e-14	0.0103	0.0007
d3kfaa_	5.39e-13	1.61e-10	0.0211	0.0010
d3m5va_	2.09e-12	9.46e-13	0.0305	0.0023
d7a3ha_	6.48e-12	1.73e-13	0.0399	0.0037
d2eb4a_	.	1.8e-11	0.0488	0.0055
d1j0aa_	3.82e-11	0.000108	0.0589	0.0063
d1b5ta_	8.89e-11	1	0.0685	0.0076
d1f9va_	1.62e-10	5.92e-09	0.0789	0.0082
d3emva_	3.16e-10	3.86e-05	0.0882	0.0096
d1yqsa_	5.38e-10	0.0932	0.0978	0.0109
d1rq0a_	9.87e-10	4.2	0.1069	0.0126
d1uoha_	1.74e-09	1.32e-05	0.1145	0.0153
d2bmoa2	2.68e-09	8.7	0.1237	0.0169
d1lbva_	3.93e-09	6.5e-08	0.1335	0.0180
d1mtp.1	6.32e-09	9.22e-10	0.1421	0.0201
d1zvfa1	1.05e-08	0.814	0.1508	0.0220
d1v9ka_	1.61e-08	0.172	0.1607	0.0230
d1vhoa2	2.38e-08	0.0659	0.1697	0.0247
d3mc1a_	3.58e-08	6.18e-11	0.1791	0.0261
d2d69a2	5.09e-08	1.8	0.1874	0.0284
d3pnlb_	.	8.07e-08	0.1969	0.0297
d2b5ga_	1.09e-07	0.0404	0.2060	0.0313
d1ozha3	1.63e-07	0.171	0.2155	0.0326
d3gada_	2.15e-07	8.14e-08	0.2240	0.0348
d1pgua2	3.16e-07	0.000201	0.2343	0.0354
d1weha_	4.32e-07	0.886	0.2443	0.0363
d1v6za2	5.66e-07	0.0311	0.2539	0.0376
d1c0pa1	7.76e-07	0.0232	0.2628	0.0393
d1xvsa_	1.03e-06	28.1	0.2715	0.0413
d2qrwa_	1.42e-06	0.105	0.2809	0.0427
d1usga_	1.97e-06	0.0133	0.2907	0.0438
d2re9a_	.	2.75e-06	0.2999	0.0453
d5nula_	3.82e-06	4.62e-05	0.3092	0.0468
d2byoa1	.	4.9e-06	0.3187	0.0482
d1mtza_	6.36e-06	1.12e-06	0.3278	0.0498
d1sc6a2	8.54e-06	1.8	0.3370	0.0513
d3gj0a_	1.11e-05	7.32e-06	0.3458	0.0532
d1ri6a_	.	1.42e-05	0.3544	0.0552
d1jc4a_	.	1.78e-05	0.3636	0.0568
d2nuga2	2.32e-05	1	0.3730	0.0582
d1qasa2	3e-05	0.0114	0.3825	0.0595
d2g39a2	3.61e-05	0.0301	0.3913	0.0614
d1kq6a_	4.41e-05	0.000121	0.4010	0.0625
d1hv2a_	5.43e-05	0.467	0.4106	0.0638
d1x4da1	6.85e-05	0.125	0.4197	0.0654
d1vdma1	8.3e-05	7.73e-05	0.4300	0.0661
d1f0ya1	0.000101	2	0.4392	0.0676
d1g2sa_	0.000119	0.000243	0.4484	0.0692
d1yova_	0.000143	0.0011	0.4577	0.0706
d1sura_	0.000176	0.0227	0.4664	0.0726
d2z1ea2	0.000221	5.1	0.4759	0.0739
d1im8a_	.	0.000264	0.4849	0.0756
d3nula_	0.000314	1.94e-07	0.4946	0.0768
d1ueka2	0.00039	0.0238	0.5032	0.0789
d1dypa_	0.000461	0.0715	0.5124	0.0804
d2g3ba1	0.000569	1.7	0.5202	0.0830
d1jqea_	.	0.000706	0.5284	0.0855
d3md1a_	0.000837	8.84e-06	0.5365	0.0879
d1fyhb1	0.000985	1.8	0.5447	0.0902
d1g5aa1	0.0012	2	0.5533	0.0922
d1omwa2	0.0014	0.0167	0.5622	0.0940
d1khia1	0.0017	0.994	0.5709	0.0960
d1a9na_	.	0.0021	0.5783	0.0990
d1r17a2	0.0025	1.3	0.5863	0.1015
d1m5q1_	0.0031	0.0031	0.5950	0.1035
d1squa_	0.0038	5.3	0.6030	0.1060
d3sqfa_	0.0046	3.6	0.6117	0.1079
d1ca1a2	.	0.0056	0.6196	0.1105
d1vmga_	0.0066	0.0105	0.6285	0.1123
d2b5ic2	0.0082	1.6	0.6370	0.1144
d1tg7a5	.	0.0099	0.6456	0.1165
d2jnaa1	0.0116	3.6	0.6540	0.1186
d2d0ta1	0.0146	2	0.6621	0.1211
d2lefa_	0.0176	0.0135	0.6694	0.1242
d1nlfa_	0.0212	1.1	0.6774	0.1267
d2p6ra2	.	0.0257	0.6850	0.1295
d1oh1a_	0.0323	9.3	0.6921	0.1327
d1iv0a_	0.0392	0.117	0.6993	0.1359
d1fvia1	0.0482	0.31	0.7070	0.1387
d1ijqa2	0.0576	1.4	0.7136	0.1423
d1v7mv_	0.0688	5.8	0.7204	0.1457
d1l3pa_	0.0821	20.8	0.7270	0.1494
d1j2la_	0.0997	16.5	0.7348	0.1521
d3rmua_	0.12	1.78e-05	0.7406	0.1564
d1rzhh1	.	0.151	0.7462	0.1608
d1f60b_	0.179	1.4	0.7524	0.1647
d2otaa1	0.221	22.8	0.7580	0.1692
d1rmda1	0.265	1.6	0.7630	0.1741
d1aoca_	.	0.336	0.7670	0.1798
d2ib0a1	.	0.416	0.7729	0.1840
d3igsa_	0.501	7.84e-09	0.7767	0.1899
d2p06a1	.	0.64	0.7822	0.1945
d1u3em1	0.795	2.2	0.7864	0.2000
d3arcl_	.	0.943	0.7906	0.2055
d1pcfa_	.	1.2	0.7944	0.2114
d1dcqa2	.	1.5	0.7973	0.2180
d2a7ya1	.	1.8	0.8006	0.2243
d2h9fa1	2.2	0.116	0.8022	0.2319
d1sgoa_	.	2.6	0.8037	0.2397
d2atza1	.	3.1	0.8053	0.2473
d1ayoa_	.	3.8	0.8068	0.2550
d1y6za_	.	4.5	0.8080	0.2630
d2ig3a_	5.4	0.0213	0.8082	0.2717
d2dwka_	.	6.5	0.8092	0.2798
d3ag3e_	.	7.8	0.8100	0.2881
d1js8a1	9.4	0.0061	0.8108	0.2964
d1srqa_	.	11.6	0.8115	0.3048
d2bw3a1	.	14.8	0.8117	0.3135
d1v9ma_	.	19.9	0.8120	0.3222
d2fbda_	29.1	4.94e-08	0.8123	0.3309
d1wpga4	.	66.2	0.8128	0.3394
d1k28a2	.	5.42e+03	0.8129	0.3482
d2bpta_	4.83e+04	1.65e-11	0.8129	0.3485
