d1jmca1	0.0242	4.5	0.0067	0.0027
d1wm3a_	0.0642	5.9	0.0152	0.0037
d3nula_	0.112	3.7	0.0232	0.0053
d3e96a_	0.176	.	0.0304	0.0076
d1yioa1	0.23	2.8	0.0358	0.0115
d2cpga_	.	0.282	0.0414	0.0153
d1m6ia2	.	0.344	0.0477	0.0183
d1vhna_	0.423	6.5	0.0545	0.0210
d2nyva_	.	0.487	0.0602	0.0246
d5nula_	0.567	1.1	0.0663	0.0278
d1r3sa_	0.635	.	0.0729	0.0307
d2vv5a1	0.711	0.196	0.0788	0.0342
d2b5ib2	0.789	3.3	0.0847	0.0376
d3iwta_	.	0.865	0.0912	0.0405
d3tzqa_	.	0.958	0.0963	0.0447
d2hiya1	.	1	0.1008	0.0494
d2hbaa1	.	1.1	0.1055	0.0541
d1zunb1	1.2	2.9	0.1112	0.0577
d1p5qa1	1.3	.	0.1170	0.0612
d1lw7a1	1.4	1	0.1227	0.0648
d1hyha1	.	1.5	0.1273	0.0696
d3q72a_	.	1.5	0.1320	0.0741
d1b74a1	1.7	0.317	0.1362	0.0791
d3dplr_	.	1.7	0.1397	0.0848
d2ofya1	.	1.8	0.1439	0.0898
d2yvaa_	.	1.9	0.1476	0.0954
d2nn6i1	2	.	0.1514	0.1008
d3d01a_	2.1	4.6	0.1545	0.1068
d2p5zx1	2.2	.	0.1579	0.1126
d2fyta1	.	2.3	0.1613	0.1184
d3c6ba_	.	2.4	0.1649	0.1239
d3efba1	.	2.5	0.1679	0.1301
d3pr1a_	.	2.6	0.1707	0.1364
d1nria_	.	2.8	0.1739	0.1424
d1w55a1	.	2.9	0.1774	0.1481
d2db7a1	.	3	0.1805	0.1541
d2j01q1	3.1	4.7	0.1830	0.1607
d1gh8a_	3.3	.	0.1861	0.1668
d1vcoa1	3.4	1.8	0.1883	0.1737
d2gyqa1	.	3.5	0.1906	0.1804
d1r89a2	.	3.7	0.1933	0.1869
d1z8ma1	.	3.8	0.1964	0.1929
d1lj9a_	4	0.419	0.1980	0.2003
d1zjka2	.	4.1	0.1997	0.2077
d1ddza2	.	4.3	0.2018	0.2147
d1knxa1	4.4	2.8	0.2043	0.2213
d2nyca1	.	4.5	0.2066	0.2281
d1pn2a2	.	4.7	0.2082	0.2355
d2e7ga1	4.8	3	0.2097	0.2431
d1cmxa_	.	5	0.2105	0.2513
d1ueqa_	.	5.1	0.2128	0.2581
d3dkra_	.	5.2	0.2144	0.2655
d1nf2a_	.	5.4	0.2157	0.2732
d1g7oa1	.	5.6	0.2173	0.2806
d2h7aa1	.	5.7	0.2185	0.2884
d1pvda2	.	5.9	0.2198	0.2961
d1auua_	.	6.1	0.2216	0.3034
d3thia_	.	6.2	0.2229	0.3111
d2hzqa_	.	6.4	0.2244	0.3186
d1m7ja1	.	6.6	0.2262	0.3259
d1ckqa_	.	6.8	0.2282	0.3330
d2hy5b1	.	6.9	0.2290	0.3412
d2vbaa1	.	7.1	0.2296	0.3495
d1gvja_	.	7.4	0.2313	0.3569
d3pmga3	.	7.5	0.2319	0.3652
d1eyfa_	.	7.8	0.2326	0.3735
d2bi0a2	.	8	0.2339	0.3812
d2ooda1	.	8.2	0.2352	0.3889
d1lnia_	.	8.5	0.2360	0.3971
d2nwia1	.	8.6	0.2369	0.4052
d1cola_	.	8.9	0.2379	0.4132
d1hc7a3	.	9.1	0.2391	0.4210
d2b0aa1	9.3	7.6	0.2396	0.4295
d1t95a1	9.6	4.6	0.2405	0.4375
d1xbia1	.	9.9	0.2411	0.4459
d3l0fa_	.	10	0.2413	0.4489
