d1pcia_	0.434	0.065	0.0093	0.0000
d1x5na1	0.414	0.086	0.0186	0.0000
d2ftwa2	0.4	0.078	0.0279	0.0000
d2b5ea4	0.394	0.09	0.0373	0.0000
d1j6oa_	0.389	0.115	0.0466	0.0000
d1av3a_	0.384	.	0.0559	0.0000
d1afia_	0.38	0.146	0.0652	0.0000
d1gdna_	0.377	0.095	0.0745	0.0000
d1o13a_	0.373	0.122	0.0838	0.0000
d2nr9a1	0.37	0.073	0.0931	0.0000
d1q45a_	0.368	0.092	0.1024	0.0000
d2p0la1	0.365	0.065	0.1118	0.0000
d1r5aa1	0.362	0.117	0.1211	0.0000
d2ixda_	0.359	0.13	0.1304	0.0000
d1xfja_	0.356	0.14	0.1397	0.0000
d1xa1a_	0.353	0.095	0.1490	0.0000
d1g2913	0.35	0.105	0.1583	0.0000
d2dlqa1	0.346	0.185	0.1676	0.0000
d2ox9a_	0.343	0.06	0.1768	0.0001
d1ojxa_	0.341	0.088	0.1862	0.0001
d1doqa_	0.338	0.215	0.1954	0.0002
d2fvka2	0.334	0.071	0.2047	0.0002
d1r8na_	0.333	0.084	0.2140	0.0002
d1s7ja_	0.33	0.078	0.2233	0.0002
d2byla1	0.327	0.105	0.2326	0.0002
d2v78a_	0.324	0.083	0.2419	0.0002
d1vh0a_	0.322	0.095	0.2513	0.0002
d1x4aa1	0.32	0.166	0.2606	0.0002
d1droa_	0.318	0.108	0.2699	0.0002
d1x4xa1	0.315	0.131	0.2792	0.0002
d1x4ka1	0.312	0.285	0.2885	0.0002
d3heba_	0.309	0.128	0.2978	0.0002
d1h9ra2	0.307	0.211	0.3071	0.0002
d1wj7a1	0.304	0.195	0.3164	0.0002
d2cg4a1	0.301	0.209	0.3257	0.0003
d1sgma1	0.298	0.127	0.3350	0.0003
d3gada_	0.295	0.119	0.3443	0.0003
d3ci0j1	0.292	0.086	0.3536	0.0003
d1m4la_	0.29	0.075	0.3628	0.0004
d1nu4a_	0.287	0.129	0.3721	0.0004
d2v9tb_	0.283	0.075	0.3814	0.0004
d3qapa_	0.28	0.083	0.3908	0.0004
d2i9fa1	0.277	0.212	0.3999	0.0005
d1m53a1	0.275	0.13	0.4092	0.0005
d1m2tb1	0.272	0.086	0.4183	0.0007
d2zxya_	0.269	0.101	0.4275	0.0009
d3bsoa_	0.266	0.087	0.4367	0.0010
d3repa_	0.263	0.071	0.4459	0.0011
d1zcza2	0.261	0.125	0.4551	0.0012
d2vy4a1	0.258	0.294	0.4641	0.0014
d2z9ia1	0.255	0.122	0.4732	0.0017
d1gp6a_	0.253	0.068	0.4824	0.0018
d2aqma_	0.25	0.093	0.4916	0.0019
d1sdda2	0.247	0.107	0.5008	0.0020
d2v2ff_	0.244	0.049	0.5101	0.0021
d1ltla_	0.242	0.26	0.5191	0.0023
d2o7ta1	0.239	0.142	0.5284	0.0023
d2at2a2	0.236	0.147	0.5377	0.0023
d3b77a1	0.233	0.142	0.5470	0.0023
d1wcv1_	0.23	0.121	0.5563	0.0023
d2hx1a_	0.227	0.107	0.5653	0.0027
d1k0wa_	0.225	0.084	0.5743	0.0029
d1rrqa2	0.222	0.071	0.5835	0.0030
d1ijwc_	0.22	0.166	0.5926	0.0033
d1ug8a_	0.217	0.161	0.6011	0.0040
d1pvta_	0.214	0.08	0.6101	0.0044
d1utaa_	0.211	0.128	0.6193	0.0045
d1h3ob_	0.208	0.212	0.6280	0.0050
d1jz8a1	0.205	0.121	0.6372	0.0052
d1wi9a_	0.202	0.285	0.6460	0.0056
d1ehya_	0.2	0.072	0.6545	0.0064
d1vkba_	0.195	0.095	0.6636	0.0066
d1bcoa1	.	0.192	0.6725	0.0070
d1lfda_	0.189	0.076	0.6808	0.0080
d2wi8a_	0.185	0.131	0.6890	0.0090
d1svsa1	0.182	0.115	0.6974	0.0099
d2ddfa_	0.179	0.095	0.7063	0.0103
d1xeaa2	0.176	0.092	0.7152	0.0107
d1n0wa_	0.173	0.15	0.7234	0.0118
d1sdoa_	0.17	0.094	0.7323	0.0122
d1luaa1	0.167	0.132	0.7406	0.0131
d1g4yb_	.	0.164	0.7485	0.0145
d1iura_	0.161	0.148	0.7565	0.0158
d2j85a1	0.157	0.078	0.7648	0.0168
d1xkpb1	0.154	0.146	0.7732	0.0176
d2v33a_	0.151	0.135	0.7802	0.0198
d1w4xa1	0.148	0.1	0.7876	0.0217
d1qb5d_	0.145	0.135	0.7959	0.0227
d2f5tx1	0.141	0.125	0.8027	0.0251
d1koha2	0.139	0.142	0.8105	0.0265
d1u0ja_	0.135	0.077	0.8162	0.0300
d1bifa1	0.132	0.094	0.8222	0.0331
d2giya1	0.128	0.077	0.8294	0.0351
d2igia_	0.125	0.097	0.8345	0.0392
d2p8ia_	0.122	0.135	0.8408	0.0420
d2i1sa1	.	0.119	0.8461	0.0459
d2j97a_	.	0.115	0.8513	0.0499
d1i3ja_	0.112	0.2	0.8558	0.0544
d1xl3c1	0.108	0.116	0.8598	0.0596
d1tjla1	0.104	0.127	0.8641	0.0643
d1e44b_	.	0.101	0.8684	0.0691
d1vfia1	.	0.097	0.8713	0.0753
d2dewx2	0.093	0.129	0.8746	0.0811
d1rjda_	0.089	0.136	0.8776	0.0871
d2gj4a_	0.084	0.072	0.8800	0.0937
d1pv5a_	.	0.08	0.8826	0.1002
d1an4a_	.	0.075	0.8841	0.1076
d1n8va_	0.066	0.095	0.8855	0.1152
d1txka2	0.055	0.056	0.8856	0.1240
d1l8wa_	.	0.044	0.8864	0.1322
d1j2jb_	0	0.307	0.8867	0.1404
