d1ks8a_	2.44e-14	.	0.0096	0.0000
d1jqia2	2.78e-13	5.7	0.0193	0.0000
d1xoca1	1.08e-12	.	0.0289	0.0000
d2rbka_	3.36e-12	6.9	0.0386	0.0000
d3fe4a_	8.43e-12	.	0.0482	0.0000
d1r55a_	1.9e-11	2.7	0.0578	0.0000
d1eu1a2	3.58e-11	.	0.0675	0.0000
d2jdid3	7.04e-11	8.9	0.0771	0.0000
d3ai2a_	1.22e-10	2	0.0868	0.0000
d1nexb2	2.14e-10	0.0884	0.0964	0.0000
d1guza2	3.63e-10	.	0.1060	0.0000
d1ywqa1	6.12e-10	.	0.1157	0.0000
d3eb2a_	1.06e-09	0.679	0.1253	0.0000
d1mvha_	1.86e-09	.	0.1350	0.0000
d1rd5a_	2.77e-09	0.0549	0.1446	0.0000
d3nzbx_	3.95e-09	.	0.1542	0.0000
d1n45a_	6.34e-09	.	0.1639	0.0000
d2pb9a1	9.48e-09	.	0.1735	0.0000
d2gtia1	1.41e-08	.	0.1832	0.0000
d2ywxa_	2.07e-08	0.524	0.1928	0.0000
d1sfla_	3.04e-08	0.548	0.2024	0.0000
d3cx5b1	4.53e-08	3	0.2121	0.0000
d3boma_	6.51e-08	.	0.2217	0.0000
d2imla1	9.33e-08	3.6	0.2314	0.0000
d2evea1	1.36e-07	.	0.2410	0.0000
d2o0ma1	1.8e-07	5.2	0.2507	0.0000
d3ph9a_	2.37e-07	.	0.2603	0.0000
d2yx6a_	3.39e-07	3.3	0.2699	0.0000
d1neka1	4.47e-07	.	0.2796	0.0000
d1h9aa1	6.01e-07	6.2	0.2892	0.0000
d2ntpa_	8.06e-07	.	0.2989	0.0000
d1jr8a_	1.08e-06	4.5	0.3085	0.0000
d2imqx_	1.44e-06	.	0.3181	0.0000
d2q2ia_	1.98e-06	1.7	0.3278	0.0000
d3s26a_	2.75e-06	.	0.3374	0.0000
d2fvka1	3.87e-06	9.1	0.3471	0.0000
d3dxsx_	4.84e-06	0.574	0.3567	0.0000
d1w5fa2	6.28e-06	2.8	0.3663	0.0000
d1u0sy_	8.33e-06	0.066	0.3760	0.0000
d1ppya_	1.07e-05	.	0.3856	0.0000
d1cxya_	1.41e-05	.	0.3953	0.0000
d1kgsa1	1.77e-05	0.0614	0.4047	0.0002
d1rq8a_	2.27e-05	.	0.4143	0.0002
d1g5ha1	2.98e-05	2.5	0.4240	0.0002
d2i6ca1	3.57e-05	3.9	0.4336	0.0002
d2cqda1	4.31e-05	8.9	0.4433	0.0002
d2i9aa2	5.36e-05	.	0.4529	0.0002
d1x4da1	6.85e-05	2.5	0.4625	0.0002
d1hxna_	8.04e-05	.	0.4721	0.0003
d2xmwa_	9.9e-05	0.632	0.4817	0.0003
d1wdua_	0.000118	3	0.4914	0.0003
d2g82a2	0.000141	.	0.5010	0.0003
d1foea1	0.000176	.	0.5107	0.0003
d3c9ua2	0.000221	.	0.5203	0.0003
d3k4ga_	0.000268	.	0.5298	0.0004
d1x51a1	0.000316	.	0.5395	0.0004
d3bqoa1	0.000397	.	0.5491	0.0004
d2zoya1	0.000472	2.6	0.5588	0.0004
d1a0ia2	0.000588	.	0.5684	0.0004
d1c0pa2	0.000739	5.3	0.5780	0.0004
d1exea_	0.000878	.	0.5877	0.0004
d1cc8a_	0.0011	0.439	0.5973	0.0004
d1ecea_	0.0013	4.5	0.6070	0.0004
d3kwua1	0.0015	.	0.6166	0.0004
d1fc6a3	0.002	.	0.6261	0.0004
d2hyja1	0.0024	1.1	0.6358	0.0004
d1muga_	0.0031	1.8	0.6454	0.0004
d3cpta_	0.0039	0.221	0.6551	0.0004
d1vaea_	0.0049	.	0.6647	0.0004
d2id3a2	0.0059	.	0.6743	0.0004
d1uena_	0.0073	.	0.6840	0.0004
d2icta_	0.0088	3.3	0.6935	0.0005
d2pyta1	0.0109	4.2	0.7031	0.0006
d2f69a2	0.0141	.	0.7127	0.0006
d2paga1	0.0181	.	0.7224	0.0006
d1l5aa2	0.0223	9.1	0.7319	0.0007
d1biha2	0.0308	3.3	0.7412	0.0011
d2p5ka1	0.0399	.	0.7505	0.0013
d3hf5a_	0.0519	6	0.7596	0.0019
d1dvoa_	0.0659	3.2	0.7688	0.0022
d1scfa_	0.0864	.	0.7779	0.0028
d1tu1a_	0.116	.	0.7873	0.0029
d1kkxa_	0.156	.	0.7963	0.0036
d2e9xb1	0.211	8.5	0.8056	0.0039
d1t9ha2	0.292	7.1	0.8138	0.0052
d1mkya3	.	0.415	0.8220	0.0065
d1u0sa_	.	0.578	0.8303	0.0078
d2ooka1	0.866	.	0.8384	0.0092
d1xzpa3	1.3	9.5	0.8450	0.0120
d2bdea1	1.9	.	0.8511	0.0153
d2np3a2	2.7	.	0.8553	0.0203
d1ud0a_	.	4	0.8589	0.0260
d1m55a_	.	5.5	0.8624	0.0316
d2i71a1	.	7.5	0.8646	0.0385
d2p02a2	9.3	0.493	0.8666	0.0456
d2ayda_	.	10	0.8666	0.0475
