TM	TP	FP	Sens	Prec	FPR
1.00	3404	0	0.00749	1	0
0.99	6662	0	0.0146	1	0
0.98	11512	0	0.0253	1	0
0.97	15104	0	0.0332	1	0
0.96	18254	2	0.0401	1	0.00011
0.95	21196	2	0.0466	1	9.43e-05
0.94	24226	8	0.0533	1	0.00033
0.93	27374	16	0.0602	0.999	0.000584
0.92	30556	24	0.0672	0.999	0.000785
0.91	33646	26	0.074	0.999	0.000772
0.90	36904	32	0.0811	0.999	0.000866
0.89	40236	42	0.0885	0.999	0.00104
0.88	43744	62	0.0962	0.999	0.00142
0.87	47472	76	0.104	0.998	0.0016
0.86	51380	110	0.113	0.998	0.00214
0.85	55362	136	0.122	0.998	0.00245
0.84	59468	168	0.131	0.997	0.00282
0.83	63632	208	0.14	0.997	0.00326
0.82	67984	260	0.149	0.996	0.00381
0.81	72606	346	0.16	0.995	0.00474
0.80	77250	448	0.17	0.994	0.00577
0.79	82052	574	0.18	0.993	0.00695
0.78	87128	720	0.192	0.992	0.0082
0.77	92472	864	0.203	0.991	0.00926
0.76	97722	1074	0.215	0.989	0.0109
0.75	103288	1302	0.227	0.988	0.0124
0.74	108842	1618	0.239	0.985	0.0146
0.73	114596	2092	0.252	0.982	0.0179
0.72	120516	2604	0.265	0.979	0.0212
0.71	126472	3342	0.278	0.974	0.0257
0.70	132530	4270	0.291	0.969	0.0312
0.69	138602	5414	0.305	0.962	0.0376
0.68	144944	6888	0.319	0.955	0.0454
0.67	151410	8718	0.333	0.946	0.0544
0.66	158230	11068	0.348	0.935	0.0654
0.65	165124	14178	0.363	0.921	0.0791
0.64	172362	18072	0.379	0.905	0.0949
0.63	179614	23170	0.395	0.886	0.114
0.62	187274	29972	0.412	0.862	0.138
0.61	195214	38756	0.429	0.834	0.166
0.60	203440	50002	0.447	0.803	0.197
0.59	211850	64950	0.466	0.765	0.235
0.58	220352	84212	0.485	0.723	0.277
0.57	229338	110266	0.504	0.675	0.325
0.56	238752	144604	0.525	0.623	0.377
0.55	248336	189854	0.546	0.567	0.433
0.54	258208	251118	0.568	0.507	0.493
0.53	268496	333838	0.59	0.446	0.554
0.52	278958	447078	0.613	0.384	0.616
0.51	289728	602140	0.637	0.325	0.675
0.50	300250	816940	0.66	0.269	0.731
0.49	310936	1112582	0.684	0.218	0.782
0.48	321296	1520256	0.707	0.174	0.826
0.47	331868	2078360	0.73	0.138	0.862
0.46	342378	2835974	0.753	0.108	0.892
0.45	352700	3842182	0.776	0.0841	0.916
0.44	362902	5162592	0.798	0.0657	0.934
0.43	372918	6849698	0.82	0.0516	0.948
0.42	382636	8946642	0.841	0.041	0.959
0.41	391732	11483624	0.861	0.033	0.967
0.40	400312	14459908	0.88	0.0269	0.973
0.39	408028	17847808	0.897	0.0224	0.978
0.38	414918	21584770	0.912	0.0189	0.981
0.37	421072	25592182	0.926	0.0162	0.984
0.36	426284	29769204	0.937	0.0141	0.986
0.35	430658	34014964	0.947	0.0125	0.987
0.34	434466	38230818	0.955	0.0112	0.989
0.33	437646	42336316	0.962	0.0102	0.99
0.32	440214	46256584	0.968	0.00943	0.991
0.31	442296	49945666	0.973	0.00878	0.991
