d1xkya1	1.63e-12	20.4	0.0096	0.0000
d1m9ua_	1.9e-11	127	0.0193	0.0000
d1zmta_	7.94e-11	4	0.0289	0.0000
d3r20a_	3.26e-10	9.8	0.0386	0.0000
d1hzda_	1.31e-09	4.8	0.0482	0.0000
d2ex0a1	4.09e-09	14.2	0.0578	0.0000
d1tjya_	1.17e-08	4.9	0.0675	0.0000
d3qk8a_	2.94e-08	4.4	0.0771	0.0000
d2ocla_	9.25e-08	4.7	0.0868	0.0000
d1uf5a_	1.94e-07	2.7	0.0964	0.0000
d1w23a_	5.64e-07	3.9	0.1060	0.0000
d2vq8a_	1.31e-06	4.6	0.1157	0.0000
d3e29a_	2.99e-06	9.5	0.1253	0.0000
d2xfaa_	5.82e-06	10.5	0.1350	0.0000
d2bwna1	1.02e-05	3.1	0.1446	0.0000
d2absa1	1.96e-05	10.5	0.1542	0.0000
d2fswa1	3.56e-05	0.914	0.1639	0.0000
d1snya_	6.47e-05	2.5	0.1735	0.0000
d1fj2a_	0.000103	2.7	0.1832	0.0000
d3l8ra_	0.000152	15.2	0.1928	0.0000
d1x5na1	0.000252	5.9	0.2024	0.0001
d1guwa_	0.000375	2.5	0.2120	0.0001
d1wxva1	0.000514	6	0.2216	0.0001
d2c2vs1	0.000716	3.3	0.2312	0.0002
d1gwea_	0.001	48.6	0.2408	0.0002
d3kvqa_	0.0013	11.4	0.2505	0.0002
d1w85i_	0.0019	4.6	0.2599	0.0004
d2fpra1	0.0024	1.6	0.2694	0.0004
d3h2ve_	0.0032	2.2	0.2791	0.0004
d2ofya1	0.0043	1.8	0.2886	0.0005
d1ebda2	0.0057	0.195	0.2983	0.0005
d2zqoa1	0.007	6.1	0.3077	0.0007
d2g50a2	0.0087	7.9	0.3172	0.0009
d1s6ca_	0.0102	5.8	0.3268	0.0009
d1nrva_	0.0125	5.3	0.3365	0.0009
d2arza1	0.0149	14.7	0.3460	0.0010
d1t15a1	0.0179	2.1	0.3555	0.0011
d1mkma1	0.0213	2	0.3652	0.0011
d1pvga2	0.0254	7.6	0.3747	0.0012
d1rhfa1	0.031	11.3	0.3842	0.0013
d2hoea3	0.0369	2.3	0.3936	0.0015
d1b77a1	0.0449	7.2	0.4033	0.0015
d3hf5a_	0.0519	14.5	0.4127	0.0017
d2htja1	0.0599	1.5	0.4222	0.0019
d1ez4a2	0.0691	8.6	0.4318	0.0019
d2naca2	0.0784	0.878	0.4413	0.0020
d2erfa_	0.0911	21.2	0.4507	0.0022
d1oyia_	0.104	3.9	0.4601	0.0024
d1v7ra_	0.119	3.7	0.4695	0.0027
d1maia_	0.137	4.3	0.4789	0.0029
d2fnaa1	0.153	5	0.4884	0.0030
d1mg7a1	0.173	2.3	0.4977	0.0033
d1guqa1	0.197	7.1	0.5068	0.0038
d2f2ca2	0.227	3.9	0.5160	0.0043
d1x52a1	0.258	5.4	0.5244	0.0054
d3e5ua1	0.292	2.1	0.5336	0.0058
d1u69a_	0.338	5.4	0.5425	0.0065
d2cb2a1	0.392	24.6	0.5514	0.0071
d2bvua_	0.435	3.5	0.5602	0.0079
d1fiua_	0.494	10.4	0.5690	0.0087
d2oqma1	0.562	8.7	0.5775	0.0098
d2ctma1	.	0.632	0.5853	0.0115
d1t62a_	0.736	6.7	0.5920	0.0142
d1vdla_	0.829	5.9	0.5992	0.0165
d1k8rb_	0.929	9.8	0.6071	0.0181
d2vv5a2	.	1	0.6137	0.0209
d1ic8a2	1.2	4.1	0.6203	0.0237
d1tfra2	1.3	3.4	0.6273	0.0261
d1bl0a1	1.5	2.3	0.6335	0.0293
d1w98b1	1.6	11.1	0.6394	0.0327
d1t3ua_	.	1.8	0.6443	0.0372
d1dp7p_	2	2.7	0.6487	0.0420
d2nn6i1	2.1	7.1	0.6534	0.0466
d1twia1	2.3	5.9	0.6573	0.0519
d1p4ea1	.	2.5	0.6609	0.0574
d1p65a_	2.7	4.1	0.6645	0.0631
d2b0ja1	2.9	9.1	0.6683	0.0685
d2q9oa2	3.1	14.2	0.6717	0.0742
d1hfua2	3.4	29.3	0.6750	0.0801
d2doda1	.	3.6	0.6778	0.0864
d1yuza2	3.9	0.576	0.6801	0.0932
d3n55.1	4.1	12	0.6830	0.0995
d1efpa1	4.5	1.8	0.6857	0.1059
d3efza1	.	4.7	0.6879	0.1127
d2j43a2	5	5	0.6897	0.1201
d2vfxa_	.	5.3	0.6918	0.1270
d3l7ha_	.	5.7	0.6936	0.1342
d1utaa_	.	6.1	0.6956	0.1414
d2vgna2	6.5	2.9	0.6971	0.1489
d2fq3a1	6.9	5.2	0.6990	0.1560
d1k8kg_	.	7.4	0.7005	0.1636
d2qamh1	.	7.8	0.7017	0.1713
d1ut9a1	8.3	38.9	0.7033	0.1788
d3cx5h_	.	8.8	0.7044	0.1867
d1f7ua2	9.5	16.6	0.7054	0.1947
d1aisa1	10.4	0.45	0.7063	0.2028
d3db7a_	.	10.9	0.7080	0.2102
d1q90b_	11.8	22.4	0.7097	0.2175
d2cg7a2	12.8	4.8	0.7109	0.2253
d3fapb_	.	14	0.7118	0.2333
d2fx0a2	.	15.2	0.7133	0.2409
d1ii2a2	.	16.6	0.7145	0.2487
d1bgka_	.	18.2	0.7159	0.2564
