d2vk9a1	0.292	0.354	0.0096	0.0000
d2o9ga_	0.314	0.343	0.0191	0.0002
d1fc4a_	0.326	0.395	0.0283	0.0005
d2vrna_	0.335	0.457	0.0374	0.0011
d1tvna1	0.341	0.39	0.0465	0.0016
d1wzla3	0.348	0.384	0.0552	0.0024
d2ag5a1	0.355	0.439	0.0638	0.0034
d2gdza1	0.361	0.423	0.0728	0.0040
d1pvc1_	0.365	0.54	0.0816	0.0048
d1gjwa2	0.37	0.377	0.0899	0.0060
d3tm0a_	0.375	0.391	0.0983	0.0071
d2aiqa_	0.379	0.493	0.1063	0.0087
d2y3za_	0.384	0.403	0.1138	0.0107
d1xfda2	0.388	0.49	0.1212	0.0128
d1de4c3	0.391	0.464	0.1277	0.0156
d2csba5	.	0.396	0.1345	0.0183
d1ju3a2	0.399	0.376	0.1426	0.0197
d1ngna_	0.402	0.376	0.1494	0.0223
d1g6ha_	0.406	0.417	0.1567	0.0245
d2a7ka1	0.41	0.457	0.1629	0.0277
d1pvda3	0.413	0.493	0.1698	0.0302
d2x7cb_	0.416	0.435	0.1767	0.0327
d1wy6a_	.	0.419	0.1825	0.0363
d1bgfa_	.	0.423	0.1890	0.0392
d1vqqa3	0.426	0.382	0.1953	0.0423
d2dara1	0.429	0.621	0.2011	0.0458
d7fd1a_	0.432	0.498	0.2065	0.0498
d2bfdb2	0.435	0.482	0.2120	0.0536
d2ivxa2	0.438	0.436	0.2182	0.0568
d2apoa2	0.441	0.46	0.2235	0.0608
d1jssa_	0.444	0.556	0.2292	0.0644
d2b0ta_	0.447	0.358	0.2350	0.0680
d1qhxa_	0.45	0.457	0.2403	0.0720
d3c9fa2	0.452	0.45	0.2468	0.0749
d3cina1	0.456	0.443	0.2526	0.0785
d2a2ja1	0.458	0.503	0.2579	0.0825
d3n4ja_	0.461	0.496	0.2637	0.0861
d1a6ja_	0.464	0.52	0.2689	0.0902
d1vpya_	0.466	0.448	0.2737	0.0946
d2gena1	0.469	0.512	0.2791	0.0986
d1x9na3	0.471	0.473	0.2844	0.1026
d1mhna_	0.474	0.577	0.2898	0.1065
d2g7oa1	.	0.477	0.2944	0.1111
d1jmsa4	0.478	0.48	0.2998	0.1151
d2p97a1	0.481	0.492	0.3039	0.1202
d2nr7a1	0.484	0.457	0.3090	0.1244
d1bi5a1	0.486	0.505	0.3131	0.1295
d2b7ea1	0.488	0.551	0.3179	0.1340
d2fvga2	0.49	0.501	0.3227	0.1385
