d2bcea_	44	6.7	0.0096	0.0000
d1llfa_	39.5	5.5	0.0193	0.0000
d1h5qa_	36.3	9.8	0.0289	0.0000
d3qgma_	34.5	8.9	0.0386	0.0000
d1woha_	33	6.5	0.0482	0.0000
d3r6ua_	31.3	6.1	0.0578	0.0000
d2eava_	29.9	3.3	0.0675	0.0000
d1peqa2	28.5	8	0.0769	0.0002
d1ecea_	27.3	8.4	0.0865	0.0003
d1ji0a_	26.2	4.3	0.0959	0.0004
d1p3y1_	25.2	11	0.1055	0.0005
d2v9tb_	24.2	6.5	0.1150	0.0006
d1dzka_	23.4	6.6	0.1247	0.0006
d2r6sa_	22.6	4.1	0.1343	0.0006
d2wmya_	22	8.2	0.1437	0.0008
d1k68a_	21.4	10.1	0.1531	0.0011
d1e8ca3	20.8	9.8	0.1626	0.0012
d1r9la_	20.2	7	0.1722	0.0012
d1zkia1	19.7	4.3	0.1818	0.0012
d2nrla_	19.3	6.8	0.1915	0.0012
d2azna1	18.8	5.2	0.2010	0.0013
d5nula_	18.3	8.6	0.2104	0.0016
d2j8ma_	17.9	4.2	0.2200	0.0016
d1sh8a_	17.5	3.4	0.2295	0.0017
d2b5ea4	17.1	4	0.2390	0.0019
d1umka2	16.8	8.9	0.2485	0.0020
d1o4ta_	16.5	6.3	0.2582	0.0020
d1g87a2	16.1	7	0.2678	0.0020
d3ijta_	15.7	4.7	0.2775	0.0020
d1oxwa_	15.4	5.5	0.2870	0.0021
d1xfda1	.	15.1	0.2963	0.0023
d1ypzf1	14.8	5.3	0.3060	0.0023
d3h8qa_	14.5	3.8	0.3153	0.0026
d1w1wa_	14.3	3.3	0.3247	0.0029
d2bmwa1	14	4.4	0.3340	0.0031
d3k6ea_	13.7	3.4	0.3434	0.0034
d1w0pa1	13.5	8.7	0.3530	0.0034
d3k69a_	13.2	6.3	0.3626	0.0035
d1sj8a2	.	13	0.3720	0.0037
d1mjul1	12.8	5.1	0.3817	0.0037
d2d0ob1	12.5	6.1	0.3909	0.0040
d1yira2	12.3	5.3	0.4004	0.0042
d1tfza2	12.1	4.2	0.4095	0.0046
d1nvmb1	11.9	10.1	0.4186	0.0052
d1ldna1	11.7	8.3	0.4278	0.0055
d1u7ia_	11.5	5.1	0.4371	0.0059
d2gm6a1	11.3	4.3	0.4464	0.0062
d1dp4a_	11.2	9	0.4560	0.0062
d1dkla_	11	5.1	0.4651	0.0067
d1nupa_	10.8	5.6	0.4744	0.0070
d2ebfx2	10.6	5.9	0.4832	0.0078
d1g8ma2	10.5	4.8	0.4915	0.0091
d1t2da2	10.3	3.5	0.4999	0.0103
d2coca1	10.1	3.3	0.5080	0.0116
d3kdfa_	9.9	5.5	0.5165	0.0127
d1lfoa_	9.8	8.5	0.5257	0.0131
d1t98a2	.	9.6	0.5339	0.0145
d1qr0a1	9.4	4.2	0.5419	0.0160
d2g6ta1	.	9.2	0.5498	0.0176
d1f00i3	9.1	2.6	0.5581	0.0188
d1sbqa_	8.9	6.5	0.5668	0.0197
d1yaro_	.	8.7	0.5742	0.0218
d4ubpc1	8.5	2	0.5823	0.0232
d1mlia_	8.4	4.5	0.5898	0.0252
d1wu7a1	8.2	8.3	0.5972	0.0272
d2vqca1	8	5.1	0.6043	0.0296
d1grja1	.	7.9	0.6112	0.0321
d1ryba_	.	7.7	0.6182	0.0345
d2h7za1	7.5	.	0.6249	0.0373
d1vk1a_	7.3	6.3	0.6320	0.0396
d1gnwa1	7.2	6.4	0.6389	0.0422
d2gpea_	7	3.4	0.6451	0.0453
d1h2ca_	.	6.9	0.6508	0.0490
d2uubm1	6.7	5.2	0.6557	0.0533
d1tc3c_	6.6	5.2	0.6607	0.0577
d1o4wa_	6.5	6.3	0.6654	0.0623
d2fmpa2	.	6.3	0.6696	0.0673
d1q2za_	.	6.2	0.6743	0.0719
d1ivsa1	6.1	8.8	0.6783	0.0771
d2i5ua1	.	5.9	0.6827	0.0819
d2gmha3	5.8	.	0.6864	0.0874
d1x5xa1	.	5.7	0.6905	0.0925
d1roca_	.	5.6	0.6938	0.0984
d1oh1a_	.	5.5	0.6982	0.1033
d1k28a3	5.4	2.8	0.7011	0.1094
d2uubk1	5.2	4	0.7057	0.1142
d2zd1b1	5.1	6.7	0.7079	0.1210
d2hfqa1	.	5	0.7120	0.1261
d2byka1	4.9	3.1	0.7155	0.1318
d2a4ha1	4.8	2.5	0.7181	0.1383
d1ueba3	4.7	3.7	0.7204	0.1451
d1j3ea_	.	4.6	0.7230	0.1516
d3m7va2	.	4.4	0.7251	0.1587
d1v0da_	.	4.3	0.7280	0.1648
d1eova2	4.2	3.6	0.7302	0.1718
d2auwa2	.	4	0.7320	0.1790
d1q8da_	.	3.9	0.7336	0.1864
d1aola_	.	3.8	0.7360	0.1931
d1ozza_	3.6	2.2	0.7381	0.2002
d1vq8b1	3.4	3.3	0.7393	0.2079
d1d5ya2	3.3	3.7	0.7411	0.2152
d1wlfa1	.	3.1	0.7430	0.2224
d1q3ia_	.	2.9	0.7443	0.2300
d1jiwi_	2.7	4.3	0.7453	0.2381
d2z1aa1	.	2.4	0.7462	0.2462
d1b0nb_	.	2.2	0.7474	0.2539
d1gl1i_	.	2	0.7481	0.2581
