d1u08a_	4.14e-40	0.000169	0.0096	0.0000
d3bn1a_	9.05e-36	0.00422	0.0193	0.0000
d2j32a_	1.12e-32	0.0123	0.0289	0.0000
d1a99a_	2.54e-30	0.0336	0.0386	0.0000
d1b5ta_	3.6e-28	3.69e-05	0.0482	0.0000
d1ioma_	8.3e-27	0.318	0.0578	0.0000
d1qtwa_	8.71e-26	0.000813	0.0675	0.0000
d1c4za_	8.46e-25	0.464	0.0771	0.0000
d2ekpa_	6.22e-24	0.00112	0.0868	0.0000
d1u0ta_	3.42e-23	0.000292	0.0964	0.0000
d1mpxa2	2.37e-22	0.00707	0.1060	0.0000
d1pjqa2	1.09e-21	0.0206	0.1157	0.0000
d1h7ea_	4.78e-21	0.00767	0.1253	0.0000
d1qwra_	2.13e-20	0.00151	0.1350	0.0000
d3bora_	1.02e-19	0.0478	0.1446	0.0000
d3og7a_	3.65e-19	0.265	0.1542	0.0000
d1efpa1	1.72e-18	0.137	0.1639	0.0000
d1ybfa_	7.62e-18	0.00287	0.1735	0.0000
d1xnga1	2.65e-17	0.00777	0.1832	0.0000
d3b5ea1	9.19e-17	0.00471	0.1928	0.0000
d1v7pc_	3.2e-16	0.00539	0.2024	0.0000
d3bbba_	1.24e-15	0.475	0.2121	0.0000
d2gzxa_	3.94e-15	0.00106	0.2217	0.0000
d2a13a1	1.12e-14	0.00815	0.2314	0.0000
d1ja1a2	2.85e-14	0.00204	0.2410	0.0000
d1m5xa_	6.54e-14	0.184	0.2506	0.0001
d3lada2	1.74e-13	0.00188	0.2602	0.0001
d1k0ia1	3.64e-13	6.61e-05	0.2698	0.0001
d2ae6a1	8.49e-13	0.292	0.2795	0.0001
d1lfwa1	2.03e-12	0.219	0.2890	0.0002
d1u79a_	4.31e-12	0.0915	0.2986	0.0003
d1pkha_	8.59e-12	0.0844	0.3082	0.0003
d1z2la2	1.85e-11	0.0081	0.3177	0.0004
d2g50a1	3.37e-11	0.0673	0.3273	0.0004
d1iz5a1	6.17e-11	0.0204	0.3369	0.0004
d1ud9a2	1.08e-10	0.0365	0.3465	0.0005
