d2vhla2	0.941	0.693	0.0101	0.0008
d2pd6a_	0.933	0.922	0.0189	0.0027
d1u7ba1	0.926	0.737	0.0284	0.0040
d3s5oa_	0.922	0.942	0.0377	0.0055
d2q3za2	0.917	0.696	0.0471	0.0069
d1f1ma_	.	0.914	0.0566	0.0082
d1vm7a_	0.911	0.888	0.0667	0.0090
d1autc_	0.907	0.902	0.0765	0.0101
d1ex0a3	0.903	0.715	0.0860	0.0114
d3gzyb_	0.9	0.885	0.0953	0.0129
d2ifca_	0.897	0.916	0.1050	0.0141
d1wpwa_	0.894	0.896	0.1136	0.0161
d1i39a_	0.891	0.508	0.1235	0.0171
d1yzva_	0.888	0.808	0.1323	0.0190
d2cx4a_	0.885	0.879	0.1418	0.0202
d1svya_	0.882	0.647	0.1516	0.0213
d1yo5c1	0.879	0.705	0.1610	0.0227
d1iq0a1	0.877	0.582	0.1704	0.0242
d1f89a_	0.874	0.874	0.1799	0.0254
d1xeaa1	0.872	0.655	0.1890	0.0271
d1jpma2	0.869	0.466	0.1992	0.0278
d3zv4a_	0.866	0.864	0.2079	0.0298
d2g0wa1	0.863	0.74	0.2166	0.0318
d2b5ga_	0.86	0.684	0.2253	0.0337
d2b78a2	0.857	0.692	0.2340	0.0357
d2f2ca2	0.855	0.738	0.2445	0.0362
d2evea1	0.852	0.555	0.2533	0.0381
d2yzia1	0.85	0.8	0.2622	0.0399
d1orna_	.	0.847	0.2711	0.0417
d2ah2a2	0.844	0.674	0.2802	0.0433
d2dxaa_	0.841	0.865	0.2886	0.0455
d2fbqa1	0.839	0.555	0.2981	0.0468
d2zjrs1	0.836	0.414	0.3079	0.0479
d1y7na1	0.833	0.813	0.3174	0.0491
d1z96a1	0.831	0.703	0.3275	0.0500
d1ysra_	0.828	0.71	0.3364	0.0518
d1ayea2	0.825	0.605	0.3457	0.0533
d1mpya1	0.823	0.649	0.3554	0.0544
d1k0da2	0.82	0.711	0.3638	0.0566
d2w0ba_	0.818	0.83	0.3726	0.0585
d1ysja2	0.815	0.683	0.3822	0.0598
d1ml8a_	0.812	0.824	0.3912	0.0615
d1gcya2	0.809	0.655	0.4002	0.0632
d1i6ua_	0.806	0.488	0.4090	0.0650
d1nnla_	0.804	0.758	0.4193	0.0657
d1h6ga2	0.8	0.752	0.4281	0.0676
d1g8ma2	0.797	0.458	0.4373	0.0691
d2ajra_	0.794	0.863	0.4455	0.0715
d1ntva_	0.791	0.79	0.4552	0.0727
d1qhua1	0.788	0.553	0.4637	0.0747
d2imra2	.	0.785	0.4728	0.0764
d2vsmb_	.	0.782	0.4813	0.0785
d1auaa1	0.778	0.634	0.4907	0.0799
d2ywka_	0.776	0.836	0.4992	0.0821
d2o6xa_	0.773	0.881	0.5080	0.0839
