d1tb3a1	2.45e-79	1.51e-59	0.0097	0.0012
d1t46a_	6.74e-68	2.45e-44	0.0193	0.0024
d2fvka2	4.7e-61	0.89	0.0284	0.0040
d3ieka_	9.8e-56	5.62e-05	0.0381	0.0052
d3hvma_	1.19e-52	1.2	0.0469	0.0070
d2ic7a_	2.28e-49	1.86e-06	0.0553	0.0093
d2r40d1	6.43e-47	2.4	0.0658	0.0097
d1acoa2	3.55e-44	0.019	0.0751	0.0112
d2b1xa2	1.14e-41	0.8	0.0850	0.0122
d2vp4a1	6.02e-40	4.79e-11	0.0935	0.0144
d2b3ya2	2.74e-38	1.4	0.1031	0.0156
d1yo6a1	2.93e-36	1.18e-10	0.1122	0.0172
d1csha_	6.7e-35	3.65e-13	0.1212	0.0189
d1vmda_	2.73e-33	0.45	0.1307	0.0202
d1gkab_	4.21e-32	6.41e-17	0.1413	0.0207
d1ps9a1	5.56e-31	1.71e-30	0.1501	0.0226
d1iuka_	5.43e-30	0.45	0.1596	0.0239
d3e0ia_	4.41e-29	0.037	0.1684	0.0258
d1puia_	8.33e-28	3.9e-27	0.1774	0.0275
d3zv4a_	6.03e-27	4.4e-27	0.1858	0.0296
d1ny5a1	6.43e-26	2.55e-18	0.1959	0.0305
d2fuja1	5.52e-25	3.44e-05	0.2050	0.0321
d2c5sa2	6.01e-24	0.3	0.2136	0.0342
d1i52a_	6.25e-23	9e-22	0.2231	0.0355
d1ti6a1	5.3e-22	0.047	0.2328	0.0367
d2bgwa2	3.52e-21	0.084	0.2422	0.0380
d2wp4a_	.	1.54e-20	0.2514	0.0396
d3bwuc1	7.57e-20	0.88	0.2604	0.0413
d2dvta1	2.79e-19	0.28	0.2702	0.0424
d1hr6a2	1.27e-18	0.3	0.2794	0.0439
d2odeb_	9.32e-18	1.88e-29	0.2882	0.0458
d1nkra1	3.92e-17	2.7	0.2973	0.0475
d1lkka_	1.75e-16	5.52e-10	0.3067	0.0488
d1pbwa_	6.19e-16	2.4	0.3164	0.0500
d1dnpa2	2.11e-15	1.1	0.3257	0.0515
d2gz1a1	7.5e-15	0.36	0.3352	0.0528
d1ci9a_	2.25e-14	0.32	0.3445	0.0542
d2hy5b1	8.28e-14	0.36	0.3542	0.0554
d2vo8a1	2.78e-13	0.063	0.3641	0.0564
d2csoa1	8.71e-13	0.88	0.3738	0.0575
d3qq8b_	2.83e-12	1.5	0.3837	0.0585
d1cola_	9.45e-12	2.1	0.3926	0.0603
d2ozbb1	2.22e-11	0.32	0.4007	0.0628
d2csua1	5.59e-11	0.39	0.4094	0.0648
d1jqba1	1.49e-10	4.1	0.4177	0.0670
d3e9ta_	3.19e-10	2.68e-26	0.4269	0.0686
d1uhza_	6.89e-10	0.049	0.4360	0.0702
d3qmxa_	1.67e-09	1.66e-13	0.4459	0.0712
d2f9fa1	3.85e-09	0.15	0.4557	0.0723
d1jl7a_	8.21e-09	2.03e-05	0.4644	0.0742
d1ixra2	1.98e-08	0.11	0.4741	0.0754
d1jmkc_	4.1e-08	0.37	0.4835	0.0768
d1sdda2	8.31e-08	0.4	0.4928	0.0782
d2hoea3	1.63e-07	1.1	0.5013	0.0804
d1qhua1	3.85e-07	0.57	0.5101	0.0822
d1okqa2	8.96e-07	1.8	0.5184	0.0845
d1f97a2	1.71e-06	0.044	0.5274	0.0863
d1v5pa_	4e-06	0.096	0.5356	0.0886
d1l8ra_	9.1e-06	0.024	0.5453	0.0897
d1r31a2	1.78e-05	1.2	0.5545	0.0912
d1p1ja2	3.25e-05	4.4	0.5632	0.0932
d1kk1a1	6.77e-05	0.048	0.5708	0.0961
d1m5za_	0.000121	1.57e-05	0.5794	0.0981
d1p9ga_	0.000215	4.2	0.5875	0.1005
d2piea_	0.000457	0.69	0.5962	0.1025
d2ca6a1	.	0.000815	0.6039	0.1053
d2huec_	.	0.001	0.6115	0.1081
d3dplr_	0.002	0.094	0.6192	0.1109
d1x6ha2	0.004	0.2	0.6264	0.1140
d1njqa_	.	0.007	0.6329	0.1177
d1xwea_	.	0.011	0.6382	0.1224
d2fxaa1	0.015	0.18	0.6443	0.1264
d1ydua1	.	0.022	0.6509	0.1301
d1se9a_	0.031	0.21	0.6554	0.1354
d1wpga3	0.042	2.3	0.6589	0.1415
d2piaa1	0.056	0.35	0.6622	0.1478
d1e32a1	.	0.074	0.6647	0.1547
d2pyta1	.	0.091	0.6677	0.1612
d2fnaa1	.	0.11	0.6702	0.1681
d1yzxa_	.	0.13	0.6722	0.1755
d2gova1	.	0.15	0.6740	0.1829
d2gmfa_	.	0.18	0.6755	0.1906
d3dmca1	0.2	0.27	0.6769	0.1985
d2j01q1	.	0.23	0.6782	0.2063
d1lq9a_	.	0.27	0.6801	0.2137
d2j73a_	.	0.3	0.6809	0.2220
d1sqra_	.	0.34	0.6820	0.2300
d1v4aa1	.	0.37	0.6823	0.2387
d1q2za_	.	0.42	0.6830	0.2471
d1fcda3	.	0.48	0.6830	0.2560
d1oxxk1	.	0.53	0.6841	0.2640
d1knya1	.	0.58	0.6846	0.2726
d2uubs1	.	0.63	0.6851	0.2811
d1uw6a_	.	0.71	0.6857	0.2895
d1izma_	.	0.78	0.6865	0.2978
d1jyha_	.	0.85	0.6870	0.3063
d1hf8a1	.	0.93	0.6871	0.3151
d1m1ha1	.	1	0.6876	0.3237
d2fefa2	.	1.1	0.6878	0.3324
d2oa5a_	.	1.2	0.6878	0.3414
d1d8ia_	.	1.4	0.6881	0.3500
d2a6qa1	.	1.5	0.6885	0.3587
d1pbua_	.	1.7	0.6885	0.3676
d1jyoa_	.	1.9	0.6886	0.3764
d1olza3	.	2.1	0.6887	0.3852
d1crua_	.	2.4	0.6888	0.3941
d1t98a1	.	2.7	0.6890	0.4028
d3bula1	.	3	0.6891	0.4116
d1rh5c_	.	3.6	0.6894	0.4204
d1zrua2	.	4.5	0.6895	0.4292
d1i4wa_	6.2	0.4	0.6895	0.4381
d1lpba1	.	9.9	0.6895	0.4469
