d2masa_	3.87e-33	0.00199	0.0096	0.0000
d1m40a_	8.51e-29	0.0215	0.0193	0.0000
d2uwaa_	3.47e-26	0.0191	0.0289	0.0000
d3u8ea_	2.4e-24	0.69	0.0386	0.0000
d1ohwa_	1.49e-22	0.0267	0.0482	0.0000
d2reia_	1.27e-20	0.353	0.0578	0.0000
d3ilwa_	2.69e-19	0.115	0.0675	0.0000
d1rhca_	8.69e-18	0.000397	0.0771	0.0000
d1k8kc_	1.09e-16	1.5e-08	0.0868	0.0000
d1dqza_	1.04e-15	0.00244	0.0964	0.0000
d3qnma_	8.67e-15	0.0535	0.1060	0.0000
d1fxoa_	5.37e-14	0.0346	0.1157	0.0000
d3eg7a_	3.13e-13	0.131	0.1252	0.0001
d1sena_	1.56e-12	0.399	0.1349	0.0001
d1to3a_	5.05e-12	0.000609	0.1443	0.0003
d2ghsa1	1.71e-11	3.57e-09	0.1535	0.0007
d3fsoa_	5.63e-11	0.00313	0.1630	0.0008
d2vdja_	1.48e-10	0.00178	0.1727	0.0008
d1e5ka_	4.37e-10	0.0779	0.1822	0.0009
d1qvwa_	9.99e-10	0.00322	0.1917	0.0011
d1jsxa_	2.23e-09	0.00162	0.2011	0.0012
d1n4wa1	4.36e-09	0.00105	0.2105	0.0014
d2nrqa1	8.62e-09	0.00893	0.2201	0.0015
d3h0oa_	1.75e-08	0.00853	0.2296	0.0016
d1qmea4	3.12e-08	0.128	0.2392	0.0017
d2nq3a1	4.94e-08	0.0135	0.2487	0.0018
d2f8ya_	8.41e-08	0.115	0.2583	0.0019
d1vdma1	1.37e-07	0.0694	0.2677	0.0021
d1b3aa_	2.43e-07	0.117	0.2770	0.0024
d1fcda1	3.9e-07	2.02e-06	0.2864	0.0026
d1vpta_	6.17e-07	0.00134	0.2960	0.0027
d1qlwa_	8.83e-07	0.029	0.3054	0.0029
d1ctja_	1.26e-06	3.22	0.3150	0.0029
d2olua2	1.86e-06	0.126	0.3245	0.0030
d1yfua1	2.66e-06	0.00255	0.3341	0.0030
d1ex2a_	3.84e-06	0.0363	0.3437	0.0031
d2cssa1	5.54e-06	0.247	0.3531	0.0033
d1mvha_	7.95e-06	1.35	0.3628	0.0033
d1vhza_	1.19e-05	0.221	0.3721	0.0036
d1mzka_	1.7e-05	0.804	0.3818	0.0036
d2e1za2	2.29e-05	0.276	0.3909	0.0040
d1abaa_	3.01e-05	0.564	0.4004	0.0042
d1jgta1	4.09e-05	0.0448	0.4097	0.0045
d3ej9a_	5.51e-05	0.234	0.4188	0.0050
d4ubpc2	7.63e-05	0.104	0.4282	0.0052
d1o7fa3	0.0001	0.0116	0.4376	0.0054
d1xr0b_	0.000143	0.0495	0.4467	0.0059
d2tbva_	0.000187	0.0241	0.4558	0.0064
d3ew8a_	0.000235	0.00276	0.4644	0.0074
d1tzza1	0.000306	0.00222	0.4732	0.0082
d1whxa_	0.000392	0.213	0.4822	0.0087
d2p02a2	.	0.000521	0.4912	0.0094
d1whva_	0.000692	0.0844	0.4994	0.0107
d3dcxa1	0.000916	0.378	0.5084	0.0112
d1knva_	0.00126	0.238	0.5169	0.0123
d1k0da2	0.0016	0.249	0.5249	0.0138
d1m72a_	0.00214	0.00451	0.5332	0.0151
d1jhfa1	0.00265	0.896	0.5407	0.0170
