d1w6ga1	0.943	0.4	0.0096	0.0000
d1f20a2	0.936	0.553	0.0193	0.0000
d2cvza2	0.93	0.594	0.0289	0.0000
d3k34a_	0.926	0.393	0.0386	0.0000
d1t9ba2	0.922	0.53	0.0482	0.0000
d3gl9a_	0.918	0.673	0.0578	0.0000
d1pfva2	0.915	0.466	0.0675	0.0000
d1h6ua2	0.912	0.528	0.0771	0.0000
d1b8aa2	0.909	0.457	0.0868	0.0000
d3u7qa_	0.905	0.413	0.0964	0.0000
d1wl8a1	0.902	0.543	0.1060	0.0000
d2dt8a_	0.9	0.548	0.1157	0.0000
d1l6ra_	0.897	0.524	0.1253	0.0000
d3b6ia_	0.895	0.597	0.1350	0.0000
d1iyka2	0.892	0.412	0.1446	0.0000
d2nlia_	0.89	0.515	0.1542	0.0000
d2pppa_	0.888	0.434	0.1639	0.0000
d2a97a_	0.884	0.382	0.1735	0.0000
d3pxxa_	0.881	0.565	0.1832	0.0000
d2w21a_	0.879	0.558	0.1928	0.0000
d1e25a_	0.877	0.479	0.2024	0.0000
d2asub_	0.875	0.443	0.2121	0.0000
d1xp4a2	0.872	0.431	0.2217	0.0000
d1z2la1	0.869	0.494	0.2314	0.0000
d1o6ya_	0.867	0.464	0.2410	0.0000
d1q6za3	0.864	0.53	0.2507	0.0000
d2x1wa_	0.861	0.405	0.2603	0.0000
d2i53a1	0.858	0.529	0.2699	0.0000
d1qfha1	0.856	0.586	0.2796	0.0000
d1s3za_	0.853	0.471	0.2892	0.0000
d1a8da2	0.851	0.39	0.2989	0.0000
d3r9ta_	0.848	0.501	0.3085	0.0000
d2v1ra_	0.845	0.518	0.3181	0.0000
d1vmba_	0.843	0.542	0.3278	0.0000
d1jaka1	0.84	0.578	0.3374	0.0000
d3bmva2	0.837	0.668	0.3471	0.0000
d3ah7a_	0.835	0.429	0.3567	0.0000
d1vjza_	0.832	0.561	0.3663	0.0000
d2uy6b1	0.83	0.522	0.3760	0.0000
d1kgcd1	0.827	0.537	0.3856	0.0000
d3e99a1	0.824	0.451	0.3952	0.0001
d3elna_	0.822	0.475	0.4048	0.0001
d2cz4a1	0.819	0.557	0.4144	0.0001
d1jnra2	0.816	0.557	0.4241	0.0001
d3c8wa1	0.813	0.412	0.4337	0.0001
d1qfja2	0.81	0.643	0.4434	0.0001
d3qe1a_	0.808	0.425	0.4530	0.0001
d1ucsa_	0.805	0.439	0.4625	0.0002
d1eema2	0.802	0.44	0.4722	0.0002
d1dosa_	0.798	0.504	0.4818	0.0002
d2o2xa1	0.795	0.552	0.4915	0.0002
d1ps1a_	0.792	0.462	0.5011	0.0002
d1t3qb1	0.789	0.544	0.5107	0.0002
d1e6ca_	0.786	0.519	0.5204	0.0002
d1soua_	0.783	0.503	0.5299	0.0003
d1woqa1	0.78	0.486	0.5395	0.0004
d1gl4a1	0.777	0.446	0.5490	0.0004
d3bofa2	0.774	0.609	0.5587	0.0004
d2g9hd1	0.77	0.439	0.5683	0.0004
d1fp1d1	0.767	0.468	0.5778	0.0005
d1rutx2	0.763	0.571	0.5875	0.0005
d1chka_	0.758	0.403	0.5971	0.0005
d1iv8a1	0.755	0.564	0.6067	0.0006
d1bkra_	0.751	0.52	0.6163	0.0006
d3c9ua2	0.748	0.439	0.6259	0.0007
d3bmva3	0.745	0.565	0.6353	0.0009
d1i58a_	0.741	0.479	0.6448	0.0011
d1ispa_	0.736	0.611	0.6543	0.0012
d1z3ix2	0.732	0.525	0.6637	0.0013
d1x2ia1	0.728	0.565	0.6734	0.0013
d1qqp1_	0.723	0.457	0.6828	0.0015
d3hf5a_	0.719	0.521	0.6922	0.0018
d1u58a2	0.715	0.459	0.7014	0.0021
d1qvca_	0.711	0.44	0.7109	0.0023
d2pa7a1	0.706	0.516	0.7201	0.0027
d1smxa_	0.701	0.497	0.7292	0.0032
d2htsa_	0.697	0.478	0.7386	0.0034
d1c4qa_	0.692	0.525	0.7480	0.0037
d3qzba_	0.687	0.573	0.7575	0.0037
d2ppxa1	0.681	0.492	0.7669	0.0040
d1ipaa2	0.677	0.461	0.7761	0.0044
d3arcb_	0.671	0.429	0.7853	0.0048
d1kloa1	0.667	0.423	0.7944	0.0054
d1y7ma2	0.661	0.515	0.8038	0.0055
d1ex4a1	0.655	0.573	0.8130	0.0060
d1ccwb_	0.65	0.482	0.8219	0.0066
d1xjva2	0.642	0.433	0.8311	0.0070
d2iafa1	0.635	0.535	0.8398	0.0079
d1ozza_	0.629	0.442	0.8483	0.0090
d2wkxa1	0.622	0.482	0.8568	0.0100
d1nvmb2	0.614	0.499	0.8653	0.0111
d3delb_	0.607	0.404	0.8740	0.0120
d1yura1	0.598	0.456	0.8823	0.0132
d1vlua_	0.59	0.438	0.8907	0.0144
d2f1la2	0.581	0.604	0.8976	0.0169
d1l1la_	0.574	0.372	0.9050	0.0189
d2spca_	0.565	0.676	0.9125	0.0210
d2bnka_	.	0.554	0.9186	0.0242
d1rwsa_	0.546	0.43	0.9259	0.0264
d2pbea2	0.537	0.478	0.9320	0.0296
d1vkma_	.	0.529	0.9370	0.0339
d1d3ya_	.	0.519	0.9408	0.0393
d1v4aa2	0.509	0.489	0.9453	0.0441
d1sf8a_	.	0.499	0.9496	0.0491
d2oeza1	.	0.489	0.9534	0.0544
d1hq0a_	0.477	0.417	0.9560	0.0609
d1hp8a_	0.466	0.513	0.9584	0.0676
d1zdya_	.	0.453	0.9611	0.0741
d2pp6a1	0.434	0.54	0.9624	0.0818
d3boea_	.	0.409	0.9642	0.0890
d1a6bb_	0.376	0.351	0.9654	0.0969
d1xg0a_	0.253	0.395	0.9658	0.1054
d1qrj.1	0.155	0.314	0.9658	0.1064
