d1mdoa_	49.3	5.1	0.0096	0.0000
d1l5oa_	46	6.9	0.0193	0.0000
d3tg0a_	42.4	4.3	0.0289	0.0000
d2hmfa1	40.7	6.9	0.0386	0.0000
d1mppa_	39	2.2	0.0482	0.0000
d1n7oa3	37.3	5	0.0578	0.0000
d2f6ka1	36.1	9.4	0.0675	0.0000
d1t46a_	35.1	6	0.0771	0.0000
d1cjca2	33.9	16	0.0868	0.0000
d1pzxa_	33	8.3	0.0964	0.0000
d1zrna_	31.7	8.5	0.1060	0.0000
d1jpma1	31	7.5	0.1157	0.0000
d1o5oa_	30.2	9.3	0.1253	0.0000
d3r26a_	29.5	5.7	0.1350	0.0000
d2i00a2	28.9	2.3	0.1445	0.0001
d1mx3a1	28.4	11.4	0.1542	0.0001
d1sk7a_	27.6	7.2	0.1638	0.0001
d3cx3a_	26.9	5.8	0.1734	0.0001
d1lcya2	26.5	5	0.1831	0.0001
d1y44a1	25.8	4.4	0.1927	0.0001
d3irua_	25.1	7.6	0.2023	0.0002
d3p3va_	24.6	6.9	0.2118	0.0003
d1ne7a_	24.1	5.5	0.2214	0.0003
d2bmfa2	23.6	9.4	0.2311	0.0003
d1teda_	23.2	5.3	0.2407	0.0003
d3dhoa_	22.7	5.4	0.2504	0.0003
d1xsza1	22.3	4	0.2600	0.0003
d1m6ba1	21.9	6.1	0.2695	0.0004
d1hyea1	21.5	9.2	0.2791	0.0004
d1ok7a2	21.1	3.1	0.2887	0.0004
d1z1sa1	20.6	3.9	0.2983	0.0005
d1eoka_	20.2	9.8	0.3079	0.0005
d2h6ua_	19.8	7.5	0.3176	0.0005
d1vcoa1	19.5	6.3	0.3271	0.0006
d3beda1	19.1	9.9	0.3367	0.0006
d3fz9a_	18.8	3.7	0.3461	0.0009
d3f04a_	18.5	6.9	0.3556	0.0010
d2je6b1	18.2	3.4	0.3652	0.0011
d1h97a_	18	4.5	0.3747	0.0012
d1a3aa_	17.8	2.9	0.3843	0.0012
d1g1ca_	17.5	5.9	0.3938	0.0013
d1ny5a2	17.2	5.1	0.4034	0.0014
d1nlfa_	17	5.7	0.4129	0.0015
d1u6la_	16.7	5.1	0.4225	0.0015
d1t4wa_	16.4	7.5	0.4321	0.0016
d1knxa1	16.2	5.5	0.4417	0.0016
d3fiqa_	15.8	7.2	0.4514	0.0016
d2d7va1	15.6	7.2	0.4610	0.0016
d1axib2	15.4	5.8	0.4705	0.0017
d3a9ja_	15.1	6	0.4801	0.0018
d2d4za3	14.9	2.4	0.4896	0.0019
d1omra_	14.7	4.3	0.4993	0.0019
d1p4xa2	14.5	6.2	0.5088	0.0020
d2fgea3	14.2	6.7	0.5181	0.0023
d2vwra_	13.9	3.3	0.5276	0.0024
d1ccza1	13.8	5	0.5373	0.0024
d1efub4	13.6	4.1	0.5468	0.0025
d3snfa_	13.3	2.4	0.5561	0.0029
d1wmhb_	13.1	4	0.5655	0.0030
d1k0ma1	12.9	5.2	0.5748	0.0034
d1r3ea1	12.6	2.7	0.5844	0.0034
d3oeqa_	12.3	4.5	0.5939	0.0035
d1t6la1	12.1	3.6	0.6034	0.0037
d1kjna_	.	11.9	0.6124	0.0043
d1dt9a2	11.7	2.7	0.6220	0.0043
d1iqza_	11.5	2.7	0.6314	0.0045
d2oi8a2	11.2	3.9	0.6406	0.0049
d1vloa1	11	4.9	0.6499	0.0053
d1f0la2	10.8	2	0.6589	0.0058
d1ua7a1	10.5	5.4	0.6677	0.0066
d1ygya3	10.2	6.2	0.6761	0.0078
d1u6ka_	.	10	0.6844	0.0090
d1gwma_	.	9.8	0.6924	0.0105
d1w96a1	9.5	5.8	0.7001	0.0123
d1aoya_	9.3	4.6	0.7073	0.0145
d1r3jc_	9	6.3	0.7151	0.0162
d1droa_	8.8	3.1	0.7228	0.0180
d1qpma_	8.5	3.2	0.7293	0.0210
d3rqva_	8.2	7.6	0.7350	0.0246
d1w36d2	8	5.9	0.7408	0.0282
d1jfia_	7.8	2.9	0.7476	0.0308
d2hkja1	.	7.5	0.7523	0.0353
d2hu7a2	.	7.3	0.7585	0.0385
d2cg5b_	7.1	3.2	0.7634	0.0429
d1zbdb_	6.9	3.9	0.7672	0.0483
d1jixa_	.	6.7	0.7712	0.0535
d1in4a1	6.5	7.1	0.7748	0.0591
d1tiga_	.	6.2	0.7786	0.0646
d1in0a2	6	5.5	0.7813	0.0710
d1mtyg_	.	5.8	0.7858	0.0757
d1x3ha2	5.6	.	0.7894	0.0813
d3pnlb_	.	5.4	0.7920	0.0879
d1fbva4	5.3	3	0.7947	0.0943
d1ueba3	5.1	3.7	0.7971	0.1010
d1d9ca_	5	4.1	0.7996	0.1076
d3blza1	.	4.7	0.8024	0.1139
d1lbua1	4.6	2.4	0.8056	0.1198
d1xrsb2	.	4.4	0.8079	0.1267
d2c1ia2	.	4.2	0.8091	0.1344
d1am7a_	.	4.1	0.8112	0.1414
d1t0tv_	.	3.9	0.8130	0.1487
d2dlba1	.	3.7	0.8149	0.1558
d2a07f1	3.5	3.7	0.8163	0.1635
d1tx9a1	.	3.3	0.8180	0.1708
d1wiga2	3.1	.	0.8192	0.1786
d1utya_	.	2.8	0.8211	0.1858
d1ra0a1	.	2.5	0.8220	0.1938
d1bdsa_	2.1	.	0.8229	0.2019
d1k28a2	.	2	0.8229	0.2027
