d2vk9a1	0.292	0.354	0.0093	0.0000
d2o9ga_	0.314	0.343	0.0184	0.0002
d2rhca_	0.326	0.445	0.0274	0.0005
d1n5ua1	0.335	0.393	0.0364	0.0008
d1j6oa_	0.341	0.441	0.0452	0.0013
d2cuna_	0.348	0.342	0.0540	0.0018
d1ohla_	0.355	0.396	0.0627	0.0024
d1wdpa_	0.36	0.36	0.0711	0.0032
d1oaca1	0.365	0.49	0.0800	0.0037
d1wb9a1	0.37	0.384	0.0883	0.0046
d1i7qa_	0.374	0.387	0.0966	0.0056
d3k40a_	0.378	0.398	0.1046	0.0069
d1l0wa3	0.384	0.417	0.1121	0.0086
d2c35a1	0.387	0.481	0.1193	0.0106
d2gkma_	0.391	0.431	0.1257	0.0134
d1f8fa2	0.394	0.468	0.1331	0.0153
d2v3ia_	0.398	0.453	0.1405	0.0170
d3fe4a_	0.401	0.51	0.1480	0.0188
d1m3ua_	0.405	0.421	0.1548	0.0212
d1fwxa2	0.408	0.426	0.1618	0.0235
d1yf2a1	0.412	0.478	0.1692	0.0252
d2g0wa1	0.415	0.407	0.1761	0.0276
d1t70a_	0.418	0.464	0.1826	0.0302
d1q0ra_	0.422	0.382	0.1895	0.0326
d1v1aa_	0.425	0.441	0.1960	0.0352
d2bvca2	0.428	0.402	0.2017	0.0387
d1znna1	0.431	0.45	0.2074	0.0422
d3br8a_	0.433	0.517	0.2135	0.0452
d1ekea_	0.437	0.474	0.2193	0.0486
d1smyf3	0.44	0.369	0.2251	0.0520
d1wgna_	0.443	0.489	0.2306	0.0557
d1vqta1	0.446	0.464	0.2361	0.0593
d1otka_	0.449	0.424	0.2421	0.0624
d1chma2	0.452	0.5	0.2484	0.0654
d1sgma1	0.455	0.49	0.2540	0.0690
d1pbja3	0.457	0.531	0.2590	0.0731
d1vzya1	0.46	0.535	0.2653	0.0759
d1ny5a1	0.462	0.564	0.2706	0.0797
d1sj7a1	.	0.465	0.2757	0.0838
d2np3a2	0.468	0.493	0.2812	0.0875
d1hc7a1	0.47	0.52	0.2864	0.0914
d2bu3a1	0.473	0.453	0.2921	0.0948
