d3loga_	2.46e-14	.	0.0096	0.0000
d1m4la_	3.11e-13	6.3	0.0193	0.0000
d1xa1a_	1.14e-12	.	0.0289	0.0000
d1n62c2	4.2e-12	.	0.0386	0.0000
d3cjib_	9.51e-12	.	0.0482	0.0000
d3hgpa_	2.02e-11	.	0.0578	0.0000
d1t71a_	4.12e-11	2.6	0.0675	0.0000
d1ydea1	8.13e-11	1.6	0.0771	0.0000
d1wlta1	1.42e-10	.	0.0868	0.0000
d2jfra_	2.45e-10	4.9	0.0964	0.0000
d1xgsa2	4.22e-10	2.5	0.1060	0.0000
d2jama_	7.25e-10	7.5	0.1157	0.0000
d1vbfa_	1.4e-09	0.193	0.1253	0.0000
d2bw4a1	2.14e-09	.	0.1350	0.0000
d2ew0a1	3.26e-09	.	0.1446	0.0000
d1z45a1	4.77e-09	.	0.1542	0.0000
d1g8fa2	7.37e-09	2.3	0.1639	0.0000
d3r26a_	1.16e-08	2.6	0.1735	0.0000
d3cswa_	1.72e-08	.	0.1832	0.0000
d1rz0a_	2.46e-08	8.6	0.1928	0.0000
d1ne6a2	3.64e-08	5.8	0.2024	0.0000
d1thxa_	5.13e-08	6.5	0.2121	0.0000
d2f7fa1	8.06e-08	8.7	0.2217	0.0000
d3ugsa_	1.11e-07	.	0.2314	0.0000
d3jxya_	1.57e-07	.	0.2410	0.0000
d2ak3a1	2.04e-07	1.3	0.2507	0.0000
d1bvyf_	2.78e-07	0.543	0.2603	0.0000
d1kxoa_	3.91e-07	1.3	0.2699	0.0000
d1gska2	5.17e-07	.	0.2796	0.0000
d3ctda1	7.17e-07	.	0.2892	0.0000
d1q6za3	9.56e-07	7.2	0.2989	0.0000
d1w68a_	1.28e-06	.	0.3085	0.0000
d1v9ya_	1.74e-06	.	0.3181	0.0000
d1vp6a_	2.49e-06	.	0.3278	0.0000
d1zn6a1	3.37e-06	.	0.3374	0.0000
d1g5ha2	4.5e-06	.	0.3471	0.0000
d1owfa_	5.79e-06	7.8	0.3567	0.0000
d1sddb2	7.41e-06	5	0.3663	0.0000
d2qs8a1	9.78e-06	.	0.3760	0.0000
d1k7ca_	1.28e-05	2	0.3856	0.0000
d2rgqa1	1.64e-05	1.6	0.3953	0.0000
d1n9wa1	2.1e-05	0.0106	0.4049	0.0000
d1j7xa_	2.69e-05	7.2	0.4145	0.0000
d3brja1	3.34e-05	.	0.4242	0.0000
d3s3ta_	4.06e-05	0.325	0.4338	0.0000
d1k3ya1	5.13e-05	5.2	0.4435	0.0000
d2w0ia_	6.33e-05	.	0.4531	0.0000
d1fp2a1	7.78e-05	1.1	0.4627	0.0000
d3heib_	9.39e-05	.	0.4724	0.0000
d2fe1a1	0.000114	9.7	0.4820	0.0000
d3agna_	0.000135	9.2	0.4917	0.0000
d2vhla1	0.000164	9.6	0.5013	0.0000
d2gvha1	0.000212	.	0.5109	0.0000
d2dy1a5	0.000257	0.304	0.5205	0.0001
d1aisb2	0.000305	9.9	0.5299	0.0003
d1btna_	0.000381	.	0.5396	0.0003
d2y3qa_	0.00045	.	0.5492	0.0003
d2pgda2	0.000554	2.6	0.5589	0.0003
d3b8ma1	0.000705	.	0.5685	0.0003
d1j56a_	0.000845	0.467	0.5781	0.0003
d1xgka_	0.001	2.1	0.5878	0.0003
d2fwha_	0.0012	.	0.5974	0.0003
d1oywa2	0.0015	2.8	0.6071	0.0003
d2ifga3	0.0018	.	0.6167	0.0003
d1yx0a1	0.0023	9.6	0.6263	0.0003
d1jmva_	0.0029	0.501	0.6360	0.0003
d1b63a1	0.0038	4	0.6456	0.0003
d1hw1a1	0.0046	.	0.6553	0.0003
d1n0ua2	0.0056	2.2	0.6649	0.0003
d1fftc_	0.0067	.	0.6745	0.0003
d2f1fa1	0.0082	0.362	0.6840	0.0004
d3orha_	0.01	0.993	0.6934	0.0006
d2biba1	0.012	.	0.7029	0.0008
d2gana1	0.0159	.	0.7125	0.0008
d1dt9a1	0.0198	0.393	0.7222	0.0008
d2qam01	0.0255	.	0.7316	0.0010
d2gu3a2	0.0339	4.6	0.7412	0.0011
d2ffsa1	0.0453	3	0.7500	0.0018
d1p28a_	0.0571	.	0.7593	0.0021
d1m3ua_	0.0721	0.209	0.7687	0.0023
d1r4ga_	0.0954	.	0.7777	0.0029
d3f31a_	0.127	10	0.7871	0.0031
d1huwa_	0.162	.	0.7959	0.0039
d3n1fa_	0.212	.	0.8048	0.0046
d1t2wa_	0.29	.	0.8127	0.0062
d1rzsa_	0.403	.	0.8210	0.0075
d1svba2	0.561	.	0.8290	0.0090
d1aepa_	0.802	.	0.8372	0.0103
d2giga_	1.1	7.4	0.8434	0.0135
d1am7a_	1.7	.	0.8495	0.0168
d1iwga1	2.4	1.1	0.8542	0.0213
d1flca1	3.2	7.3	0.8582	0.0266
d2gmfa_	4.6	.	0.8617	0.0323
d1b8ta2	.	6.2	0.8639	0.0392
d3o0gd_	8.1	.	0.8665	0.0457
d2ayda_	.	10	0.8673	0.0532
